curve_id,true_class,som_node,posthoc_predicted_class
SYN-0091,IFO-Valley,3,IFO-Valley
SYN-0092,IFO-Bridge,0,IFO-Bridge
SYN-0093,IFO-Bridge,0,IFO-Bridge
SYN-0094,IFO-Bridge,0,IFO-Bridge
SYN-0095,IFO-Slope,1,IFO-Slope
SYN-0096,IFO-Valley,3,IFO-Valley
SYN-0097,IFO-Hill,2,IFO-Hill
SYN-0098,IFO-Hill,2,IFO-Hill
SYN-0099,IFO-Bridge,0,IFO-Bridge
SYN-0100,IFO-Slope,1,IFO-Slope
SYN-0101,IFO-Hill,2,IFO-Hill
SYN-0102,IFO-Bridge,0,IFO-Bridge
SYN-0103,IFO-Slope,1,IFO-Slope
SYN-0104,IFO-Valley,3,IFO-Valley
SYN-0105,IFO-Valley,3,IFO-Valley
SYN-0106,IFO-Valley,3,IFO-Valley
SYN-0107,IFO-Bridge,0,IFO-Bridge
SYN-0108,IFO-Bridge,0,IFO-Bridge
SYN-0109,IFO-Bridge,0,IFO-Bridge
SYN-0110,IFO-Slope,1,IFO-Slope
SYN-0111,IFO-Bridge,0,IFO-Bridge
SYN-0112,IFO-Slope,1,IFO-Slope
SYN-0113,IFO-Bridge,0,IFO-Bridge
SYN-0114,IFO-Valley,3,IFO-Valley
SYN-0115,IFO-Hill,2,IFO-Hill
SYN-0116,IFO-Bridge,0,IFO-Bridge
SYN-0117,IFO-Bridge,0,IFO-Bridge
SYN-0118,IFO-Bridge,0,IFO-Bridge
SYN-0119,IFO-Bridge,0,IFO-Bridge
SYN-0120,IFO-Valley,3,IFO-Valley
SYN-0121,IFO-Valley,3,IFO-Valley
SYN-0122,IFO-Valley,3,IFO-Valley
SYN-0123,IFO-Bridge,0,IFO-Bridge
SYN-0124,IFO-Slope,1,IFO-Slope
SYN-0125,IFO-Valley,3,IFO-Valley
SYN-0126,IFO-Hill,2,IFO-Hill
SYN-0127,IFO-Valley,3,IFO-Valley
SYN-0128,IFO-Hill,2,IFO-Hill
SYN-0129,IFO-Slope,1,IFO-Slope
SYN-0130,IFO-Bridge,0,IFO-Bridge
SYN-0131,IFO-Valley,3,IFO-Valley
SYN-0132,IFO-Hill,2,IFO-Hill
SYN-0133,IFO-Slope,1,IFO-Slope
SYN-0134,IFO-Hill,2,IFO-Hill
SYN-0135,IFO-Valley,3,IFO-Valley
SYN-0136,IFO-Bridge,0,IFO-Bridge
SYN-0137,IFO-Slope,1,IFO-Slope
SYN-0138,IFO-Slope,1,IFO-Slope
SYN-0139,IFO-Hill,2,IFO-Hill
SYN-0140,IFO-Bridge,0,IFO-Bridge
SYN-0141,IFO-Bridge,0,IFO-Bridge
SYN-0142,IFO-Hill,2,IFO-Hill
SYN-0143,IFO-Slope,1,IFO-Slope
SYN-0144,IFO-Bridge,0,IFO-Bridge
SYN-0145,IFO-Slope,1,IFO-Slope
SYN-0146,IFO-Valley,3,IFO-Valley
SYN-0147,IFO-Hill,2,IFO-Hill
SYN-0148,IFO-Valley,3,IFO-Valley
SYN-0149,IFO-Hill,2,IFO-Hill
SYN-0150,IFO-Valley,3,IFO-Valley
SYN-0151,IFO-Slope,1,IFO-Slope
SYN-0152,IFO-Valley,3,IFO-Valley
SYN-0153,IFO-Valley,3,IFO-Valley
SYN-0154,IFO-Valley,3,IFO-Valley
SYN-0155,IFO-Hill,2,IFO-Hill
SYN-0156,IFO-Valley,3,IFO-Valley
SYN-0157,IFO-Hill,2,IFO-Hill
SYN-0158,IFO-Bridge,0,IFO-Bridge
SYN-0159,IFO-Hill,2,IFO-Hill
SYN-0160,IFO-Bridge,0,IFO-Bridge
SYN-0161,IFO-Hill,2,IFO-Hill
SYN-0162,IFO-Valley,3,IFO-Valley
SYN-0163,IFO-Bridge,0,IFO-Bridge
SYN-0164,IFO-Slope,1,IFO-Slope
SYN-0165,IFO-Hill,2,IFO-Hill
SYN-0166,IFO-Bridge,0,IFO-Bridge
SYN-0167,IFO-Slope,1,IFO-Slope
SYN-0168,IFO-Valley,3,IFO-Valley
SYN-0169,IFO-Valley,3,IFO-Valley
SYN-0170,IFO-Valley,3,IFO-Valley
SYN-0171,IFO-Slope,1,IFO-Slope
SYN-0172,IFO-Valley,3,IFO-Valley
SYN-0173,IFO-Hill,2,IFO-Hill
SYN-0174,IFO-Slope,1,IFO-Slope
SYN-0175,IFO-Hill,2,IFO-Hill
SYN-0176,IFO-Hill,2,IFO-Hill
SYN-0177,IFO-Hill,2,IFO-Hill
SYN-0178,IFO-Hill,2,IFO-Hill
SYN-0179,IFO-Valley,3,IFO-Valley
SYN-0180,IFO-Hill,2,IFO-Hill
SYN-0181,IFO-Bridge,0,IFO-Bridge
SYN-0182,IFO-Hill,2,IFO-Hill
SYN-0183,IFO-Hill,2,IFO-Hill
SYN-0184,IFO-Slope,1,IFO-Slope
SYN-0185,IFO-Valley,3,IFO-Valley
SYN-0186,IFO-Hill,2,IFO-Hill
SYN-0187,IFO-Slope,1,IFO-Slope
SYN-0188,IFO-Hill,2,IFO-Hill
SYN-0189,IFO-Valley,3,IFO-Valley
SYN-0190,IFO-Slope,1,IFO-Slope
SYN-0191,IFO-Hill,2,IFO-Hill
SYN-0192,IFO-Bridge,0,IFO-Bridge
SYN-0193,IFO-Valley,3,IFO-Valley
SYN-0194,IFO-Slope,1,IFO-Slope
SYN-0195,IFO-Bridge,0,IFO-Bridge
SYN-0196,IFO-Slope,1,IFO-Slope
SYN-0197,IFO-Hill,2,IFO-Hill
SYN-0198,IFO-Slope,1,IFO-Slope
SYN-0199,IFO-Hill,2,IFO-Hill
SYN-0200,IFO-Valley,3,IFO-Valley
SYN-0201,IFO-Bridge,0,IFO-Bridge
SYN-0202,IFO-Slope,1,IFO-Slope
SYN-0203,IFO-Valley,3,IFO-Valley
SYN-0204,IFO-Slope,1,IFO-Slope
SYN-0205,IFO-Hill,2,IFO-Hill
SYN-0206,IFO-Valley,3,IFO-Valley
SYN-0207,IFO-Slope,1,IFO-Slope
SYN-0208,IFO-Slope,1,IFO-Slope
SYN-0209,IFO-Valley,3,IFO-Valley
SYN-0210,IFO-Bridge,0,IFO-Bridge
SYN-0211,IFO-Valley,3,IFO-Valley
SYN-0212,IFO-Valley,3,IFO-Valley
SYN-0213,IFO-Hill,2,IFO-Hill
SYN-0214,IFO-Bridge,0,IFO-Bridge
SYN-0215,IFO-Bridge,0,IFO-Bridge
SYN-0216,IFO-Bridge,0,IFO-Bridge
SYN-0217,IFO-Hill,2,IFO-Hill
SYN-0218,IFO-Bridge,0,IFO-Bridge
SYN-0219,IFO-Valley,3,IFO-Valley
SYN-0220,IFO-Valley,3,IFO-Valley
SYN-0221,IFO-Hill,2,IFO-Hill
SYN-0222,IFO-Slope,1,IFO-Slope
SYN-0223,IFO-Valley,3,IFO-Valley
SYN-0224,IFO-Hill,2,IFO-Hill
SYN-0225,IFO-Bridge,0,IFO-Bridge
SYN-0226,IFO-Hill,2,IFO-Hill
SYN-0227,IFO-Slope,1,IFO-Slope
SYN-0228,IFO-Slope,1,IFO-Slope
SYN-0229,IFO-Slope,1,IFO-Slope
SYN-0230,IFO-Slope,1,IFO-Slope
SYN-0231,IFO-Valley,3,IFO-Valley
SYN-0232,IFO-Valley,3,IFO-Valley
SYN-0233,IFO-Bridge,0,IFO-Bridge
SYN-0234,IFO-Slope,1,IFO-Slope
SYN-0235,IFO-Slope,1,IFO-Slope
SYN-0236,IFO-Valley,3,IFO-Valley
SYN-0237,IFO-Hill,2,IFO-Hill
SYN-0238,IFO-Bridge,0,IFO-Bridge
SYN-0239,IFO-Valley,3,IFO-Valley
SYN-0240,IFO-Valley,3,IFO-Valley
SYN-0241,IFO-Slope,1,IFO-Slope
SYN-0242,IFO-Slope,1,IFO-Slope
SYN-0243,IFO-Bridge,0,IFO-Bridge
SYN-0244,IFO-Bridge,0,IFO-Bridge
SYN-0245,IFO-Valley,3,IFO-Valley
SYN-0246,IFO-Valley,3,IFO-Valley
SYN-0247,IFO-Bridge,0,IFO-Bridge
SYN-0248,IFO-Bridge,0,IFO-Bridge
SYN-0249,IFO-Bridge,0,IFO-Bridge
SYN-0250,IFO-Hill,2,IFO-Hill
SYN-0251,IFO-Valley,3,IFO-Valley
SYN-0252,IFO-Hill,2,IFO-Hill
SYN-0253,IFO-Slope,1,IFO-Slope
SYN-0254,IFO-Hill,2,IFO-Hill
SYN-0255,IFO-Hill,2,IFO-Hill
SYN-0256,IFO-Valley,3,IFO-Valley
SYN-0257,IFO-Bridge,0,IFO-Bridge
SYN-0258,IFO-Hill,2,IFO-Hill
SYN-0259,IFO-Hill,2,IFO-Hill
SYN-0260,IFO-Bridge,0,IFO-Bridge
SYN-0261,IFO-Slope,1,IFO-Slope
SYN-0262,IFO-Hill,2,IFO-Hill
SYN-0263,IFO-Hill,2,IFO-Hill
SYN-0264,IFO-Valley,3,IFO-Valley
SYN-0265,IFO-Valley,3,IFO-Valley
SYN-0266,IFO-Valley,3,IFO-Valley
SYN-0267,IFO-Slope,1,IFO-Slope
SYN-0268,IFO-Slope,1,IFO-Slope
SYN-0269,IFO-Bridge,0,IFO-Bridge
SYN-0270,IFO-Bridge,0,IFO-Bridge
SYN-0271,IFO-Slope,1,IFO-Slope
SYN-0272,IFO-Bridge,0,IFO-Bridge
SYN-0273,IFO-Bridge,0,IFO-Bridge
SYN-0274,IFO-Hill,2,IFO-Hill
SYN-0275,IFO-Slope,1,IFO-Slope
SYN-0276,IFO-Hill,2,IFO-Hill
SYN-0277,IFO-Bridge,0,IFO-Bridge
SYN-0278,IFO-Slope,1,IFO-Slope
SYN-0279,IFO-Bridge,0,IFO-Bridge
SYN-0280,IFO-Slope,1,IFO-Slope
SYN-0281,IFO-Hill,2,IFO-Hill
SYN-0282,IFO-Valley,3,IFO-Valley
SYN-0283,IFO-Hill,2,IFO-Hill
SYN-0284,IFO-Bridge,0,IFO-Bridge
SYN-0285,IFO-Valley,3,IFO-Valley
SYN-0286,IFO-Valley,3,IFO-Valley
SYN-0287,IFO-Hill,2,IFO-Hill
SYN-0288,IFO-Valley,3,IFO-Valley
SYN-0289,IFO-Slope,1,IFO-Slope
SYN-0290,IFO-Valley,3,IFO-Valley
SYN-0291,IFO-Bridge,0,IFO-Bridge
SYN-0292,IFO-Bridge,0,IFO-Bridge
SYN-0293,IFO-Hill,2,IFO-Hill
SYN-0294,IFO-Hill,2,IFO-Hill
SYN-0295,IFO-Slope,1,IFO-Slope
SYN-0296,IFO-Bridge,0,IFO-Bridge
SYN-0297,IFO-Slope,1,IFO-Slope
SYN-0298,IFO-Slope,1,IFO-Slope
SYN-0299,IFO-Valley,3,IFO-Valley
SYN-0300,IFO-Bridge,0,IFO-Bridge
SYN-0301,IFO-Hill,2,IFO-Hill
SYN-0302,IFO-Hill,2,IFO-Hill
SYN-0303,IFO-Bridge,0,IFO-Bridge
SYN-0304,IFO-Bridge,0,IFO-Bridge
SYN-0305,IFO-Hill,2,IFO-Hill
SYN-0306,IFO-Valley,3,IFO-Valley
SYN-0307,IFO-Valley,3,IFO-Valley
SYN-0308,IFO-Slope,1,IFO-Slope
SYN-0309,IFO-Valley,3,IFO-Valley
SYN-0310,IFO-Bridge,0,IFO-Bridge
SYN-0311,IFO-Valley,3,IFO-Valley
SYN-0312,IFO-Valley,3,IFO-Valley
SYN-0313,IFO-Valley,3,IFO-Valley
SYN-0314,IFO-Bridge,0,IFO-Bridge
SYN-0315,IFO-Bridge,0,IFO-Bridge
SYN-0316,IFO-Slope,1,IFO-Slope
SYN-0317,IFO-Bridge,0,IFO-Bridge
SYN-0318,IFO-Hill,2,IFO-Hill
SYN-0319,IFO-Slope,1,IFO-Slope
SYN-0320,IFO-Slope,1,IFO-Slope
SYN-0321,IFO-Hill,2,IFO-Hill
SYN-0322,IFO-Slope,1,IFO-Slope
SYN-0323,IFO-Valley,3,IFO-Valley
SYN-0324,IFO-Bridge,0,IFO-Bridge
SYN-0325,IFO-Hill,2,IFO-Hill
SYN-0326,IFO-Hill,2,IFO-Hill
SYN-0327,IFO-Bridge,0,IFO-Bridge
SYN-0328,IFO-Valley,3,IFO-Valley
SYN-0329,IFO-Hill,2,IFO-Hill
SYN-0330,IFO-Hill,2,IFO-Hill
SYN-0331,IFO-Hill,2,IFO-Hill
SYN-0332,IFO-Bridge,0,IFO-Bridge
SYN-0333,IFO-Hill,2,IFO-Hill
SYN-0334,IFO-Hill,2,IFO-Hill
SYN-0335,IFO-Hill,2,IFO-Hill
SYN-0336,IFO-Slope,1,IFO-Slope
SYN-0337,IFO-Bridge,0,IFO-Bridge
SYN-0338,IFO-Valley,3,IFO-Valley
SYN-0339,IFO-Slope,1,IFO-Slope
SYN-0340,IFO-Bridge,0,IFO-Bridge
SYN-0341,IFO-Bridge,0,IFO-Bridge
SYN-0342,IFO-Hill,2,IFO-Hill
SYN-0343,IFO-Hill,2,IFO-Hill
SYN-0344,IFO-Hill,2,IFO-Hill
SYN-0345,IFO-Slope,1,IFO-Slope
SYN-0346,IFO-Hill,2,IFO-Hill
SYN-0347,IFO-Valley,3,IFO-Valley
SYN-0348,IFO-Bridge,0,IFO-Bridge
SYN-0349,IFO-Slope,1,IFO-Slope
SYN-0350,IFO-Bridge,0,IFO-Bridge
SYN-0351,IFO-Hill,2,IFO-Hill
SYN-0352,IFO-Bridge,0,IFO-Bridge
SYN-0353,IFO-Slope,1,IFO-Slope
SYN-0354,IFO-Bridge,0,IFO-Bridge
SYN-0355,IFO-Slope,1,IFO-Slope
SYN-0356,IFO-Hill,2,IFO-Hill
SYN-0357,IFO-Bridge,0,IFO-Bridge
SYN-0358,IFO-Hill,2,IFO-Hill
SYN-0359,IFO-Bridge,0,IFO-Bridge
SYN-0360,IFO-Bridge,0,IFO-Bridge
SYN-0361,IFO-Slope,1,IFO-Slope
SYN-0362,IFO-Slope,1,IFO-Slope
SYN-0363,IFO-Slope,1,IFO-Slope
SYN-0364,IFO-Bridge,0,IFO-Bridge
SYN-0365,IFO-Slope,1,IFO-Slope
SYN-0366,IFO-Hill,2,IFO-Hill
SYN-0367,IFO-Slope,1,IFO-Slope
SYN-0368,IFO-Hill,2,IFO-Hill
SYN-0369,IFO-Hill,2,IFO-Hill
SYN-0370,IFO-Bridge,0,IFO-Bridge
SYN-0371,IFO-Valley,3,IFO-Valley
SYN-0372,IFO-Slope,1,IFO-Slope
SYN-0373,IFO-Bridge,0,IFO-Bridge
SYN-0374,IFO-Slope,1,IFO-Slope
SYN-0375,IFO-Bridge,0,IFO-Bridge
SYN-0376,IFO-Hill,2,IFO-Hill
SYN-0377,IFO-Slope,1,IFO-Slope
SYN-0378,IFO-Valley,3,IFO-Valley
SYN-0379,IFO-Valley,3,IFO-Valley
SYN-0380,IFO-Bridge,0,IFO-Bridge
SYN-0381,IFO-Bridge,0,IFO-Bridge
SYN-0382,IFO-Valley,3,IFO-Valley
SYN-0383,IFO-Bridge,0,IFO-Bridge
SYN-0384,IFO-Bridge,0,IFO-Bridge
SYN-0385,IFO-Slope,1,IFO-Slope
SYN-0386,IFO-Valley,3,IFO-Valley
SYN-0387,IFO-Hill,2,IFO-Hill
SYN-0388,IFO-Valley,3,IFO-Valley
SYN-0389,IFO-Bridge,0,IFO-Bridge
SYN-0390,IFO-Bridge,0,IFO-Bridge
SYN-0391,IFO-Slope,1,IFO-Slope
SYN-0392,IFO-Valley,3,IFO-Valley
SYN-0393,IFO-Slope,1,IFO-Slope
SYN-0394,IFO-Valley,3,IFO-Valley
SYN-0395,IFO-Slope,1,IFO-Slope
SYN-0396,IFO-Slope,1,IFO-Slope
SYN-0397,IFO-Valley,3,IFO-Valley
SYN-0398,IFO-Hill,2,IFO-Hill
SYN-0399,IFO-Bridge,0,IFO-Bridge
SYN-0400,IFO-Slope,1,IFO-Slope
SYN-0401,IFO-Valley,3,IFO-Valley
SYN-0402,IFO-Bridge,0,IFO-Bridge
SYN-0403,IFO-Hill,2,IFO-Hill
SYN-0404,IFO-Valley,3,IFO-Valley
SYN-0405,IFO-Slope,1,IFO-Slope
SYN-0406,IFO-Valley,3,IFO-Valley
SYN-0407,IFO-Valley,3,IFO-Valley
SYN-0408,IFO-Valley,3,IFO-Valley
SYN-0409,IFO-Bridge,0,IFO-Bridge
SYN-0410,IFO-Bridge,0,IFO-Bridge
SYN-0411,IFO-Bridge,0,IFO-Bridge
SYN-0412,IFO-Valley,3,IFO-Valley
SYN-0413,IFO-Bridge,0,IFO-Bridge
SYN-0414,IFO-Valley,3,IFO-Valley
SYN-0415,IFO-Hill,2,IFO-Hill
SYN-0416,IFO-Bridge,0,IFO-Bridge
SYN-0417,IFO-Bridge,0,IFO-Bridge
SYN-0418,IFO-Bridge,0,IFO-Bridge
SYN-0419,IFO-Hill,2,IFO-Hill
SYN-0420,IFO-Bridge,0,IFO-Bridge
SYN-0421,IFO-Bridge,0,IFO-Bridge
SYN-0422,IFO-Bridge,0,IFO-Bridge
SYN-0423,IFO-Slope,1,IFO-Slope
SYN-0424,IFO-Bridge,0,IFO-Bridge
SYN-0425,IFO-Slope,1,IFO-Slope
SYN-0426,IFO-Slope,1,IFO-Slope
SYN-0427,IFO-Hill,2,IFO-Hill
SYN-0428,IFO-Slope,1,IFO-Slope
SYN-0429,IFO-Bridge,0,IFO-Bridge
SYN-0430,IFO-Bridge,0,IFO-Bridge
SYN-0431,IFO-Hill,2,IFO-Hill
SYN-0432,IFO-Slope,1,IFO-Slope
SYN-0433,IFO-Valley,3,IFO-Valley
SYN-0434,IFO-Valley,3,IFO-Valley
SYN-0435,IFO-Bridge,0,IFO-Bridge
SYN-0436,IFO-Bridge,0,IFO-Bridge
SYN-0437,IFO-Valley,3,IFO-Valley
SYN-0438,IFO-Valley,3,IFO-Valley
SYN-0439,IFO-Slope,1,IFO-Slope
SYN-0440,IFO-Hill,2,IFO-Hill
SYN-0441,IFO-Slope,1,IFO-Slope
SYN-0442,IFO-Slope,1,IFO-Slope
SYN-0443,IFO-Bridge,0,IFO-Bridge
SYN-0444,IFO-Hill,2,IFO-Hill
SYN-0445,IFO-Slope,1,IFO-Slope
SYN-0446,IFO-Hill,2,IFO-Hill
SYN-0447,IFO-Slope,1,IFO-Slope
SYN-0448,IFO-Slope,1,IFO-Slope
SYN-0449,IFO-Hill,2,IFO-Hill
SYN-0450,IFO-Valley,3,IFO-Valley
SYN-0451,IFO-Hill,2,IFO-Hill
SYN-0452,IFO-Hill,2,IFO-Hill
SYN-0453,IFO-Slope,1,IFO-Slope
SYN-0454,IFO-Bridge,0,IFO-Bridge
SYN-0455,IFO-Valley,3,IFO-Valley
SYN-0456,IFO-Bridge,0,IFO-Bridge
SYN-0457,IFO-Slope,1,IFO-Slope
SYN-0458,IFO-Hill,2,IFO-Hill
SYN-0459,IFO-Slope,1,IFO-Slope
SYN-0460,IFO-Hill,2,IFO-Hill
SYN-0461,IFO-Slope,1,IFO-Slope
SYN-0462,IFO-Slope,1,IFO-Slope
SYN-0463,IFO-Slope,1,IFO-Slope
SYN-0464,IFO-Slope,1,IFO-Slope
SYN-0465,IFO-Slope,1,IFO-Slope
SYN-0466,IFO-Hill,2,IFO-Hill
SYN-0467,IFO-Valley,3,IFO-Valley
SYN-0468,IFO-Valley,3,IFO-Valley
SYN-0469,IFO-Valley,3,IFO-Valley
SYN-0470,IFO-Hill,2,IFO-Hill
SYN-0471,IFO-Bridge,0,IFO-Bridge
SYN-0472,IFO-Slope,1,IFO-Slope
SYN-0473,IFO-Slope,1,IFO-Slope
SYN-0474,IFO-Slope,1,IFO-Slope
SYN-0475,IFO-Valley,3,IFO-Valley
SYN-0476,IFO-Hill,2,IFO-Hill
SYN-0477,IFO-Hill,2,IFO-Hill
SYN-0478,IFO-Slope,1,IFO-Slope
SYN-0479,IFO-Slope,1,IFO-Slope
SYN-0480,IFO-Valley,3,IFO-Valley
SYN-0481,IFO-Bridge,0,IFO-Bridge
SYN-0482,IFO-Valley,3,IFO-Valley
SYN-0483,IFO-Valley,3,IFO-Valley
SYN-0484,IFO-Hill,2,IFO-Hill
SYN-0485,IFO-Bridge,0,IFO-Bridge
SYN-0486,IFO-Bridge,0,IFO-Bridge
SYN-0487,IFO-Slope,1,IFO-Slope
SYN-0488,IFO-Bridge,0,IFO-Bridge
SYN-0489,IFO-Bridge,0,IFO-Bridge
SYN-0490,IFO-Valley,3,IFO-Valley
SYN-0491,IFO-Slope,1,IFO-Slope
SYN-0492,IFO-Valley,3,IFO-Valley
SYN-0493,IFO-Hill,2,IFO-Hill
SYN-0494,IFO-Valley,3,IFO-Valley
SYN-0495,IFO-Bridge,0,IFO-Bridge
SYN-0496,IFO-Hill,2,IFO-Hill
SYN-0497,IFO-Slope,1,IFO-Slope
SYN-0498,IFO-Hill,2,IFO-Hill
SYN-0499,IFO-Slope,1,IFO-Slope
SYN-0500,IFO-Bridge,0,IFO-Bridge
SYN-0501,IFO-Valley,3,IFO-Valley
SYN-0502,IFO-Hill,2,IFO-Hill
SYN-0503,IFO-Slope,1,IFO-Slope
SYN-0504,IFO-Slope,1,IFO-Slope
SYN-0505,IFO-Hill,2,IFO-Hill
SYN-0506,IFO-Bridge,0,IFO-Bridge
SYN-0507,IFO-Slope,1,IFO-Slope
SYN-0508,IFO-Hill,2,IFO-Hill
SYN-0509,IFO-Bridge,0,IFO-Bridge
SYN-0510,IFO-Hill,2,IFO-Hill
SYN-0511,IFO-Valley,3,IFO-Valley
SYN-0512,IFO-Slope,1,IFO-Slope
SYN-0513,IFO-Bridge,0,IFO-Bridge
SYN-0514,IFO-Slope,1,IFO-Slope
SYN-0515,IFO-Hill,2,IFO-Hill
SYN-0516,IFO-Bridge,0,IFO-Bridge
SYN-0517,IFO-Valley,3,IFO-Valley
SYN-0518,IFO-Valley,3,IFO-Valley
SYN-0519,IFO-Bridge,0,IFO-Bridge
SYN-0520,IFO-Bridge,0,IFO-Bridge
SYN-0521,IFO-Hill,2,IFO-Hill
SYN-0522,IFO-Slope,1,IFO-Slope
SYN-0523,IFO-Bridge,0,IFO-Bridge
SYN-0524,IFO-Bridge,0,IFO-Bridge
SYN-0525,IFO-Valley,3,IFO-Valley
SYN-0526,IFO-Bridge,0,IFO-Bridge
SYN-0527,IFO-Slope,1,IFO-Slope
SYN-0528,IFO-Bridge,0,IFO-Bridge
SYN-0529,IFO-Valley,3,IFO-Valley
SYN-0530,IFO-Slope,1,IFO-Slope
SYN-0531,IFO-Bridge,0,IFO-Bridge
SYN-0532,IFO-Slope,1,IFO-Slope
SYN-0533,IFO-Bridge,0,IFO-Bridge
SYN-0534,IFO-Hill,2,IFO-Hill
SYN-0535,IFO-Slope,1,IFO-Slope
SYN-0536,IFO-Slope,1,IFO-Slope
SYN-0537,IFO-Hill,2,IFO-Hill
SYN-0538,IFO-Bridge,0,IFO-Bridge
SYN-0539,IFO-Slope,1,IFO-Slope
SYN-0540,IFO-Bridge,0,IFO-Bridge
SYN-0541,IFO-Valley,3,IFO-Valley
SYN-0542,IFO-Bridge,0,IFO-Bridge
SYN-0543,IFO-Bridge,0,IFO-Bridge
SYN-0544,IFO-Valley,3,IFO-Valley
SYN-0545,IFO-Valley,3,IFO-Valley
