curve_id,true_class,raw_point_count,resampled_point_count,missing_bins_before_akima,remaining_nan_after_akima,pre_normalization_max_abs,normalized_max_abs_before_savgol,smoothed_min,smoothed_max
SYN-0058,IFO-Hill,294,901,607,0,20.88932805,1,0.2263711975,0.9918197816
SYN-0059,IFO-Hill,298,901,603,0,13.27889742,1,0.2550480849,0.9860220862
SYN-0060,IFO-Hill,294,901,607,0,10.52512803,1,0.307861049,0.9895911077
SYN-0061,IFO-Valley,294,901,607,0,13.44525087,1,0.3375712203,1.001277304
SYN-0062,IFO-Hill,290,901,611,0,21.53611212,1,0.2987577467,0.9826904331
SYN-0063,IFO-Valley,294,901,607,0,20.24385213,1,0.3878292987,0.9967499683
SYN-0064,IFO-Hill,293,901,608,0,18.11823032,1,0.2939172635,0.9952207508
SYN-0065,IFO-Slope,292,901,609,0,22.37899124,1,0.2711502278,0.9952686828
SYN-0066,IFO-Valley,293,901,608,0,18.53965557,1,0.3457259514,1.007447766
SYN-0067,IFO-Bridge,297,901,604,0,21.38494238,1,0.6883658329,0.9820061412
SYN-0068,IFO-Valley,288,901,613,0,10.93607229,1,0.4407647071,1.000450604
SYN-0069,IFO-Slope,294,901,607,0,10.05166496,1,0.2166437955,0.9898833173
SYN-0070,IFO-Hill,293,901,608,0,19.8795751,1,0.2061861725,0.9914302474
SYN-0071,IFO-Hill,292,901,609,0,16.70421173,1,0.2669546284,0.985042234
SYN-0072,IFO-Bridge,289,901,612,0,8.89198138,1,0.5918971422,0.9899777255
SYN-0073,IFO-Valley,293,901,608,0,20.6277712,1,0.3577523314,1.000132127
SYN-0074,IFO-Slope,295,901,606,0,12.05287869,1,0.282788044,1.010253606
SYN-0075,IFO-Valley,295,901,606,0,21.16674759,1,0.3025900063,1.008979373
SYN-0076,IFO-Bridge,288,901,613,0,13.26413456,1,0.5547629487,0.9915085424
SYN-0077,IFO-Bridge,289,901,612,0,21.30266173,1,0.6211404276,0.9866026202
SYN-0078,IFO-Hill,284,901,617,0,22.58186733,1,0.3401853032,0.9947127605
SYN-0079,IFO-Hill,287,901,614,0,15.33903696,1,0.247250369,0.9893684565
SYN-0080,IFO-Bridge,296,901,605,0,11.14951689,1,0.6449875862,0.9782792185
SYN-0081,IFO-Hill,286,901,615,0,9.570498655,1,0.2842581969,0.9751845483
SYN-0082,IFO-Bridge,290,901,611,0,22.52433968,1,0.6441517147,0.9809913654
SYN-0083,IFO-Hill,294,901,607,0,15.54791251,1,0.3359452259,0.9885178131
SYN-0084,IFO-Slope,294,901,607,0,11.98568483,1,0.2523635715,0.9972928538
SYN-0085,IFO-Hill,294,901,607,0,17.57627712,1,0.2800479682,0.9903605362
SYN-0086,IFO-Slope,291,901,610,0,23.74883516,1,0.3436047218,0.9729051322
SYN-0087,IFO-Bridge,292,901,609,0,11.2060542,1,0.6308082591,0.9848476145
SYN-0088,IFO-Slope,298,901,603,0,7.756236791,1,0.3302401467,0.9968410052
SYN-0089,IFO-Valley,291,901,610,0,20.18555089,1,0.370911888,0.9830406231
SYN-0090,IFO-Bridge,284,901,617,0,14.98286178,1,0.6031425991,0.9904188347
SYN-0091,IFO-Valley,280,901,621,0,10.99981921,1,0.4257450074,0.9924487378
SYN-0092,IFO-Bridge,299,901,602,0,8.967073997,1,0.7204551072,0.9966316803
SYN-0093,IFO-Bridge,299,901,602,0,13.18363181,1,0.6289023599,0.9859700535
SYN-0094,IFO-Bridge,289,901,612,0,16.19139705,1,0.6408221629,0.9865857544
SYN-0095,IFO-Slope,280,901,621,0,8.429226859,1,0.3343101506,0.9925897343
SYN-0096,IFO-Valley,288,901,613,0,8.227305991,1,0.4060278259,0.9954405161
SYN-0097,IFO-Hill,288,901,613,0,23.38763193,1,0.2207808839,0.9944997628
SYN-0098,IFO-Hill,288,901,613,0,14.61677242,1,0.3106805729,0.9908962214
SYN-0099,IFO-Bridge,288,901,613,0,14.70677673,1,0.5474831725,0.9868218963
SYN-0100,IFO-Slope,294,901,607,0,20.39965031,1,0.3062537629,1.002218295
SYN-0101,IFO-Hill,298,901,603,0,20.19318025,1,0.2038796009,0.9822349399
SYN-0102,IFO-Bridge,295,901,606,0,20.34855964,1,0.5795189572,0.9805384432
SYN-0103,IFO-Slope,292,901,609,0,11.34427722,1,0.253980053,0.9771788522
SYN-0104,IFO-Valley,289,901,612,0,21.3387334,1,0.4094062176,0.9973132544
SYN-0105,IFO-Valley,297,901,604,0,9.840562384,1,0.3438380571,0.9936826634
SYN-0106,IFO-Valley,287,901,614,0,23.13032362,1,0.3840700271,1.000539225
SYN-0107,IFO-Bridge,280,901,621,0,11.64922745,1,0.5824538929,0.9854115163
SYN-0108,IFO-Bridge,296,901,605,0,17.25493111,1,0.6617350665,0.9800799079
SYN-0109,IFO-Bridge,292,901,609,0,16.83534835,1,0.6919809158,0.983474484
SYN-0110,IFO-Slope,293,901,608,0,17.03569933,1,0.2256544942,0.9943563976
SYN-0111,IFO-Bridge,293,901,608,0,21.9106643,1,0.5659877128,0.993198637
SYN-0112,IFO-Slope,290,901,611,0,22.49485427,1,0.342160867,0.9861633714
SYN-0113,IFO-Bridge,297,901,604,0,10.72694537,1,0.650098983,0.9805680346
SYN-0114,IFO-Valley,287,901,614,0,14.14238329,1,0.3127760121,0.9990384732
SYN-0115,IFO-Hill,286,901,615,0,9.837896427,1,0.1888153786,0.992622755
SYN-0116,IFO-Bridge,291,901,610,0,20.50872843,1,0.6381702213,0.9891823528
SYN-0117,IFO-Bridge,294,901,607,0,10.5541706,1,0.5941759377,0.9892754541
SYN-0118,IFO-Bridge,298,901,603,0,22.33286819,1,0.6777888503,0.9881944612
SYN-0119,IFO-Bridge,289,901,612,0,22.36519604,1,0.6684291349,0.9916244723
SYN-0120,IFO-Valley,292,901,609,0,19.68318065,1,0.3466006278,0.9929803326
SYN-0121,IFO-Valley,289,901,612,0,18.09857247,1,0.3640242169,1.008386991
SYN-0122,IFO-Valley,297,901,604,0,11.99931276,1,0.3158094268,1.012108684
SYN-0123,IFO-Bridge,297,901,604,0,23.10753713,1,0.6140515028,0.9773758839
SYN-0124,IFO-Slope,294,901,607,0,18.20267983,1,0.2948413296,1.013168188
SYN-0125,IFO-Valley,287,901,614,0,10.80557544,1,0.290289766,0.9932877901
SYN-0126,IFO-Hill,289,901,612,0,12.69679289,1,0.3413331376,0.9867257037
SYN-0127,IFO-Valley,290,901,611,0,9.570014833,1,0.3919192316,1.006508198
SYN-0128,IFO-Hill,290,901,611,0,10.18619339,1,0.2179418017,0.9880917884
SYN-0129,IFO-Slope,295,901,606,0,18.69271987,1,0.3196776647,0.9888431092
SYN-0130,IFO-Bridge,298,901,603,0,21.62419913,1,0.5954684857,0.9856030116
SYN-0131,IFO-Valley,296,901,605,0,19.38682706,1,0.4096333607,1.001330257
SYN-0132,IFO-Hill,291,901,610,0,13.05543573,1,0.3013654947,0.9880274979
SYN-0133,IFO-Slope,282,901,619,0,15.09144046,1,0.293985707,1.007226405
SYN-0134,IFO-Hill,297,901,604,0,16.00921119,1,0.3331803418,0.9778202195
SYN-0135,IFO-Valley,299,901,602,0,22.63844396,1,0.3019601475,1.007995527
SYN-0136,IFO-Bridge,291,901,610,0,17.53774532,1,0.656963061,0.9784649999
SYN-0137,IFO-Slope,287,901,614,0,15.45608054,1,0.2393421716,1.00141431
SYN-0138,IFO-Slope,286,901,615,0,11.48833865,1,0.3166533338,0.9884831615
SYN-0139,IFO-Hill,296,901,605,0,14.32109427,1,0.2868165608,0.9921241651
SYN-0140,IFO-Bridge,296,901,605,0,12.14405673,1,0.5757275129,0.9833030314
SYN-0141,IFO-Bridge,289,901,612,0,19.76162785,1,0.5435047407,0.9900550841
SYN-0142,IFO-Hill,295,901,606,0,14.25262929,1,0.2286911483,0.9794693794
SYN-0143,IFO-Slope,294,901,607,0,19.27920615,1,0.3607055048,1.008400498
SYN-0144,IFO-Bridge,289,901,612,0,9.245484059,1,0.6886170782,0.9722682065
SYN-0145,IFO-Slope,295,901,606,0,18.07674185,1,0.2485886749,0.9962091356
SYN-0146,IFO-Valley,296,901,605,0,11.44451567,1,0.3430794059,0.9956138624
SYN-0147,IFO-Hill,292,901,609,0,12.90918005,1,0.2652172963,0.9935782431
SYN-0148,IFO-Valley,292,901,609,0,20.38705652,1,0.3611231858,1.002513185
SYN-0149,IFO-Hill,294,901,607,0,21.30836976,1,0.2655907882,0.9930108657
SYN-0150,IFO-Valley,285,901,616,0,12.76779607,1,0.4133059666,0.9833513467
SYN-0151,IFO-Slope,295,901,606,0,8.608229023,1,0.2992906358,1.006805109
SYN-0152,IFO-Valley,289,901,612,0,20.88958236,1,0.3435839426,1.002545772
SYN-0153,IFO-Valley,292,901,609,0,22.78056481,1,0.2854250567,0.9924053188
SYN-0154,IFO-Valley,291,901,610,0,17.44749871,1,0.3326113918,0.9982118707
SYN-0155,IFO-Hill,286,901,615,0,23.0804953,1,0.2339214424,0.991009056
SYN-0156,IFO-Valley,293,901,608,0,19.41121134,1,0.289513105,0.9992613533
SYN-0157,IFO-Hill,298,901,603,0,16.32144328,1,0.2437901519,0.9903166139
SYN-0158,IFO-Bridge,291,901,610,0,11.82613064,1,0.6585025912,0.9916794157
SYN-0159,IFO-Hill,292,901,609,0,13.27845171,1,0.338807607,0.989264001
SYN-0160,IFO-Bridge,298,901,603,0,21.89684689,1,0.6347587205,0.9931604468
SYN-0161,IFO-Hill,296,901,605,0,14.77774977,1,0.2658044909,0.9771164365
SYN-0162,IFO-Valley,293,901,608,0,20.68477008,1,0.395675734,1.001258231
SYN-0163,IFO-Bridge,288,901,613,0,23.77734001,1,0.586429602,0.9895788176
SYN-0164,IFO-Slope,297,901,604,0,21.10814148,1,0.3400113151,0.9973222976
SYN-0165,IFO-Hill,289,901,612,0,11.04579427,1,0.2552425744,0.9904233851
SYN-0166,IFO-Bridge,291,901,610,0,19.67730166,1,0.5783451533,0.9735906067
SYN-0167,IFO-Slope,296,901,605,0,16.6139196,1,0.3193850046,0.9985333299
SYN-0168,IFO-Valley,295,901,606,0,11.19749721,1,0.357423615,1.002288599
SYN-0169,IFO-Valley,287,901,614,0,14.76448201,1,0.2864247201,0.9905205489
SYN-0170,IFO-Valley,290,901,611,0,12.34030887,1,0.3886271077,1.017833525
SYN-0171,IFO-Slope,296,901,605,0,11.62120616,1,0.261587758,1.00245803
SYN-0172,IFO-Valley,293,901,608,0,9.968501184,1,0.4325034605,1.004536862
SYN-0173,IFO-Hill,295,901,606,0,18.25318627,1,0.1981096007,0.9859710989
SYN-0174,IFO-Slope,296,901,605,0,19.55307755,1,0.2714804088,0.9948249192
SYN-0175,IFO-Hill,293,901,608,0,9.996874495,1,0.2244373329,0.9929018796
SYN-0176,IFO-Hill,296,901,605,0,17.29956781,1,0.2113276551,0.9947764379
SYN-0177,IFO-Hill,289,901,612,0,11.44844036,1,0.2564981855,0.9953785727
SYN-0178,IFO-Hill,297,901,604,0,20.22465947,1,0.265728612,0.9743192281
SYN-0179,IFO-Valley,297,901,604,0,14.03489641,1,0.280107879,0.9987845849
SYN-0180,IFO-Hill,293,901,608,0,22.85355027,1,0.2339760106,0.9969971519
SYN-0181,IFO-Bridge,285,901,616,0,15.17029339,1,0.534617074,0.9850152
SYN-0182,IFO-Hill,291,901,610,0,16.22682414,1,0.2084810706,0.9941134557
SYN-0183,IFO-Hill,291,901,610,0,21.05117645,1,0.2344453383,0.9857492459
SYN-0184,IFO-Slope,290,901,611,0,14.76305456,1,0.2779399596,0.9878852477
SYN-0185,IFO-Valley,293,901,608,0,22.4619142,1,0.4292889801,1.007470144
SYN-0186,IFO-Hill,287,901,614,0,8.30571122,1,0.2859971438,0.9935131869
SYN-0187,IFO-Slope,297,901,604,0,19.48089489,1,0.2622894242,0.9871507426
SYN-0188,IFO-Hill,290,901,611,0,21.48737985,1,0.3268041782,0.9886006775
SYN-0189,IFO-Valley,294,901,607,0,18.38402084,1,0.3438195749,0.995828148
SYN-0190,IFO-Slope,288,901,613,0,12.75848076,1,0.3351362866,1.000427379
SYN-0191,IFO-Hill,294,901,607,0,16.28799694,1,0.3350433294,0.9842498725
SYN-0192,IFO-Bridge,287,901,614,0,16.34495413,1,0.703551389,0.9857345036
SYN-0193,IFO-Valley,296,901,605,0,20.99859094,1,0.4075671717,0.997942449
SYN-0194,IFO-Slope,290,901,611,0,17.63505939,1,0.369790683,0.9881494717
SYN-0195,IFO-Bridge,292,901,609,0,14.63073709,1,0.6437403165,0.9873456078
SYN-0196,IFO-Slope,291,901,610,0,7.970502203,1,0.2670806767,1.000984228
SYN-0197,IFO-Hill,292,901,609,0,12.83483744,1,0.2086544401,0.981241769
SYN-0198,IFO-Slope,295,901,606,0,18.75074315,1,0.326094734,1.003254562
SYN-0199,IFO-Hill,285,901,616,0,18.44825931,1,0.2881205288,0.9856080812
SYN-0200,IFO-Valley,293,901,608,0,18.56971111,1,0.3741264864,0.9922353217
SYN-0201,IFO-Bridge,286,901,615,0,23.6925164,1,0.635238572,0.9877134761
SYN-0202,IFO-Slope,295,901,606,0,14.99061015,1,0.3245293097,1.006477174
SYN-0203,IFO-Valley,294,901,607,0,22.56544186,1,0.4179990854,0.9969866714
SYN-0204,IFO-Slope,291,901,610,0,20.80304919,1,0.2977389234,0.9951716475
SYN-0205,IFO-Hill,288,901,613,0,16.90489276,1,0.2558956884,0.9886315023
SYN-0206,IFO-Valley,284,901,617,0,8.836308406,1,0.4418111758,1.001667169
SYN-0207,IFO-Slope,291,901,610,0,18.08538425,1,0.2737225871,0.991050867
SYN-0208,IFO-Slope,299,901,602,0,16.86117296,1,0.2158143801,1.001120634
SYN-0209,IFO-Valley,297,901,604,0,12.07128078,1,0.4105509688,0.9894463152
SYN-0210,IFO-Bridge,297,901,604,0,14.06979033,1,0.617627215,0.9891071356
SYN-0211,IFO-Valley,294,901,607,0,21.56551789,1,0.2870600438,0.9988872344
SYN-0212,IFO-Valley,297,901,604,0,22.94109156,1,0.3397023843,1.004987029
SYN-0213,IFO-Hill,287,901,614,0,14.00322473,1,0.2871229679,0.9825912292
SYN-0214,IFO-Bridge,288,901,613,0,17.96948446,1,0.6903756335,0.9874973527
SYN-0215,IFO-Bridge,287,901,614,0,20.25418879,1,0.59329816,0.9875724492
SYN-0216,IFO-Bridge,288,901,613,0,14.12210343,1,0.6428197917,0.973415745
SYN-0217,IFO-Hill,294,901,607,0,10.10221911,1,0.311405736,0.98995343
SYN-0218,IFO-Bridge,294,901,607,0,8.478199903,1,0.5901480812,0.9828171661
SYN-0219,IFO-Valley,297,901,604,0,12.63867308,1,0.2714742664,1.012362119
SYN-0220,IFO-Valley,295,901,606,0,13.8071137,1,0.3552024607,1.014438156
SYN-0221,IFO-Hill,296,901,605,0,20.77336763,1,0.31766535,0.9871648273
SYN-0222,IFO-Slope,295,901,606,0,12.34735051,1,0.2786657755,0.9814666381
SYN-0223,IFO-Valley,295,901,606,0,18.78178818,1,0.3180045399,0.9849832294
SYN-0224,IFO-Hill,291,901,610,0,19.27022963,1,0.1871469526,0.9889805332
SYN-0225,IFO-Bridge,290,901,611,0,16.34644695,1,0.569368284,0.9883217168
SYN-0226,IFO-Hill,295,901,606,0,15.08165004,1,0.211613491,0.9900011559
SYN-0227,IFO-Slope,296,901,605,0,14.96595641,1,0.2888557872,1.009211683
SYN-0228,IFO-Slope,293,901,608,0,13.37838334,1,0.2908800122,1.002736125
SYN-0229,IFO-Slope,292,901,609,0,12.45114373,1,0.3188267438,0.9850978552
SYN-0230,IFO-Slope,291,901,610,0,18.37493825,1,0.3240406715,0.9826717569
SYN-0231,IFO-Valley,293,901,608,0,12.44449657,1,0.4208064796,0.9903099798
SYN-0232,IFO-Valley,295,901,606,0,22.05800562,1,0.3447072521,0.9919206452
SYN-0233,IFO-Bridge,293,901,608,0,22.07321664,1,0.7008060297,0.9819985152
SYN-0234,IFO-Slope,294,901,607,0,19.39577745,1,0.2885884711,0.9947630932
SYN-0235,IFO-Slope,291,901,610,0,22.95764714,1,0.2592485658,0.9950116443
SYN-0236,IFO-Valley,287,901,614,0,8.664469707,1,0.3699106942,1.015417029
SYN-0237,IFO-Hill,291,901,610,0,10.57984148,1,0.2801703666,0.9854483655
SYN-0238,IFO-Bridge,290,901,611,0,9.350985792,1,0.6505722405,0.9822709524
SYN-0239,IFO-Valley,290,901,611,0,16.14317957,1,0.3929054896,0.9884753179
SYN-0240,IFO-Valley,300,901,601,0,16.15785674,1,0.4422258398,1.000905088
SYN-0241,IFO-Slope,292,901,609,0,20.44651092,1,0.3450448436,0.9915524963
SYN-0242,IFO-Slope,291,901,610,0,12.6953649,1,0.2831214232,0.9967988096
SYN-0243,IFO-Bridge,295,901,606,0,17.94389425,1,0.5946967084,0.9876463967
SYN-0244,IFO-Bridge,294,901,607,0,21.26491341,1,0.6831198376,0.9861997339
SYN-0245,IFO-Valley,287,901,614,0,9.547828806,1,0.3204154795,1.004895532
SYN-0246,IFO-Valley,295,901,606,0,10.85226921,1,0.3850713847,0.9941843647
SYN-0247,IFO-Bridge,296,901,605,0,19.37737207,1,0.5766736325,0.9807057224
SYN-0248,IFO-Bridge,294,901,607,0,12.3476968,1,0.603485312,0.9891462115
SYN-0249,IFO-Bridge,290,901,611,0,22.33646591,1,0.6567985887,0.9891336459
SYN-0250,IFO-Hill,286,901,615,0,19.08426805,1,0.293818128,0.988101192
SYN-0251,IFO-Valley,291,901,610,0,16.0045866,1,0.3542249431,0.9886290749
SYN-0252,IFO-Hill,297,901,604,0,16.73775479,1,0.2142941932,0.9885475788
SYN-0253,IFO-Slope,297,901,604,0,16.14339632,1,0.2927278281,0.9907792994
SYN-0254,IFO-Hill,292,901,609,0,14.25881567,1,0.2186142224,0.9852081948
SYN-0255,IFO-Hill,291,901,610,0,11.79132319,1,0.2446247557,0.9951956881
SYN-0256,IFO-Valley,292,901,609,0,15.13504961,1,0.3533430673,0.9930646292
SYN-0257,IFO-Bridge,289,901,612,0,15.79114098,1,0.6630363571,0.9901765823
SYN-0258,IFO-Hill,289,901,612,0,10.30853885,1,0.2877996018,0.9872733103
SYN-0259,IFO-Hill,291,901,610,0,19.70357486,1,0.3009629569,0.9850849508
SYN-0260,IFO-Bridge,295,901,606,0,21.14825247,1,0.5624826251,0.9753668818
SYN-0261,IFO-Slope,293,901,608,0,18.57302638,1,0.2557743733,0.9912402164
SYN-0262,IFO-Hill,293,901,608,0,18.16451469,1,0.2563483263,0.9925572917
SYN-0263,IFO-Hill,297,901,604,0,12.67510491,1,0.268259847,0.9942148577
SYN-0264,IFO-Valley,285,901,616,0,15.36490231,1,0.3899402797,0.997227237
SYN-0265,IFO-Valley,296,901,605,0,23.20483132,1,0.4095740504,1.000149657
SYN-0266,IFO-Valley,295,901,606,0,19.39802409,1,0.2810243477,1.00221111
SYN-0267,IFO-Slope,283,901,618,0,18.47036323,1,0.2498297028,1.010953991
SYN-0268,IFO-Slope,291,901,610,0,19.07228265,1,0.2434392283,1.011055698
SYN-0269,IFO-Bridge,291,901,610,0,15.23090957,1,0.557569053,0.980715581
SYN-0270,IFO-Bridge,292,901,609,0,15.5090742,1,0.6588172102,0.9887482291
SYN-0271,IFO-Slope,298,901,603,0,18.768307,1,0.2509651052,0.9895814627
SYN-0272,IFO-Bridge,284,901,617,0,22.43482922,1,0.6665819791,0.9831520071
SYN-0273,IFO-Bridge,298,901,603,0,22.75048899,1,0.6740767495,0.9854567541
SYN-0274,IFO-Hill,292,901,609,0,23.37777012,1,0.323041462,0.9925029951
SYN-0275,IFO-Slope,292,901,609,0,17.01051505,1,0.312062359,0.999142641
SYN-0276,IFO-Hill,294,901,607,0,12.62261,1,0.224659513,0.9932540806
SYN-0277,IFO-Bridge,295,901,606,0,12.44927246,1,0.6484243958,0.9771819434
SYN-0278,IFO-Slope,292,901,609,0,12.17477012,1,0.3482090903,0.9973750034
SYN-0279,IFO-Bridge,287,901,614,0,22.99483676,1,0.6110940454,0.9819204461
SYN-0280,IFO-Slope,293,901,608,0,15.05980861,1,0.3711343766,1.000337258
SYN-0281,IFO-Hill,291,901,610,0,19.9807545,1,0.2972027513,0.9904550902
SYN-0282,IFO-Valley,296,901,605,0,13.02703454,1,0.2880547729,1.000739104
SYN-0283,IFO-Hill,295,901,606,0,18.36065509,1,0.2978956121,0.993144891
SYN-0284,IFO-Bridge,297,901,604,0,12.46477403,1,0.5883339168,0.9853050432
SYN-0285,IFO-Valley,298,901,603,0,17.22623914,1,0.328050848,1.000649451
SYN-0286,IFO-Valley,296,901,605,0,17.49358365,1,0.4048845094,0.9928383535
SYN-0287,IFO-Hill,295,901,606,0,21.25712424,1,0.2657771136,0.9915195915
SYN-0288,IFO-Valley,294,901,607,0,21.84834745,1,0.2758945929,0.9725517669
SYN-0289,IFO-Slope,289,901,612,0,13.37894258,1,0.2201325152,0.9958926948
SYN-0290,IFO-Valley,286,901,615,0,16.93243951,1,0.4015389857,0.9848226369
SYN-0291,IFO-Bridge,292,901,609,0,14.81092578,1,0.6296049221,0.9859858312
SYN-0292,IFO-Bridge,284,901,617,0,20.31275057,1,0.6590167476,0.9895987722
SYN-0293,IFO-Hill,290,901,611,0,21.56329844,1,0.2500110031,0.9964957098
SYN-0294,IFO-Hill,296,901,605,0,13.88036029,1,0.309752265,0.9917344033
SYN-0295,IFO-Slope,291,901,610,0,15.87717766,1,0.3261480799,1.001668231
SYN-0296,IFO-Bridge,286,901,615,0,10.10356298,1,0.5710399747,0.9858735198
SYN-0297,IFO-Slope,287,901,614,0,21.60837803,1,0.3143810141,1.007032147
SYN-0298,IFO-Slope,291,901,610,0,16.10105295,1,0.3616505992,1.006118667
SYN-0299,IFO-Valley,294,901,607,0,14.34337768,1,0.3831006387,0.9950020544
SYN-0300,IFO-Bridge,294,901,607,0,10.59312707,1,0.6837246286,0.9861924603
SYN-0301,IFO-Hill,291,901,610,0,9.83958993,1,0.3417532492,0.986368781
SYN-0302,IFO-Hill,288,901,613,0,15.59805447,1,0.2465797067,0.9858064159
SYN-0303,IFO-Bridge,291,901,610,0,22.7134489,1,0.6333136334,0.982601312
SYN-0304,IFO-Bridge,291,901,610,0,18.47258962,1,0.5734020702,0.9913660155
SYN-0305,IFO-Hill,299,901,602,0,9.296741937,1,0.2329778635,0.9819321599
SYN-0306,IFO-Valley,294,901,607,0,12.80600465,1,0.2941591859,0.9949128754
SYN-0307,IFO-Valley,285,901,616,0,15.69543581,1,0.2977850497,0.9803109874
SYN-0308,IFO-Slope,289,901,612,0,8.780514273,1,0.2817349917,0.9809756113
