download_id,doi,title,year,open_pdf_url,landing_url,relevance_score
oa_015,10.1038/s41467-025-65341-7,Ambient blade-coated perovskite solar cells with high reverse bias stability enabled by polymeric hole transporter design,2025,https://www.nature.com/articles/s41467-025-65341-7.pdf,https://doi.org/10.1038/s41467-025-65341-7,32
oa_016,10.1063/1.5086125,In situ investigation of light soaking in organolead halide perovskite films,2019,https://aip.scitation.org/doi/pdf/10.1063/1.5086125,https://doi.org/10.1063/1.5086125,31
oa_017,10.1002/ange.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ange.202317446,https://doi.org/10.1002/ange.202317446,31
oa_018,10.1038/s41598-023-33473-9,Self-healing perovskite solar cells based on copolymer-templated TiO2 electron transport layer,2023,https://www.nature.com/articles/s41598-023-33473-9.pdf,https://doi.org/10.1038/s41598-023-33473-9,30
oa_019,10.1002/aenm.202403850,"Ion Migration in Mesoscopic Perovskite Solar Cells: Effects on Electroluminescence, Open Circuit Voltage, and Photovoltaic Quantum Efficiency",2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202403850,https://doi.org/10.1002/aenm.202403850,30
oa_020,10.1002/aenm.202403844,Seasonal Effects on Outdoor Stability of Perovskite Solar Cells,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202403844,https://doi.org/10.1002/aenm.202403844,30
oa_021,10.1039/c5ee03874j,"Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency",2016,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee03874j,https://doi.org/10.1039/c5ee03874j,28
oa_022,10.1126/sciadv.aaw2543,Ultrahydrophobic 3D/2D fluoroarene bilayer-based water-resistant perovskite solar cells with efficiencies exceeding 22%,2019,https://advances.sciencemag.org/content/advances/5/6/eaaw2543.full.pdf,https://doi.org/10.1126/sciadv.aaw2543,28
oa_023,10.1038/s41467-020-15338-1,Regulating strain in perovskite thin films through charge-transport layers,2020,https://www.nature.com/articles/s41467-020-15338-1.pdf,https://doi.org/10.1038/s41467-020-15338-1,28
oa_024,10.1126/sciadv.1701293,Enhanced photovoltaic performance and stability with a new type of hollow 3D perovskite {en}FASnI 3,2017,https://advances.sciencemag.org/content/advances/3/8/e1701293.full.pdf,https://doi.org/10.1126/sciadv.1701293,28
oa_025,10.1038/s41598-017-04690-w,Investigation of Thermally Induced Degradation in CH3NH3PbI3 Perovskite Solar Cells using In-situ Synchrotron Radiation Analysis,2017,https://www.nature.com/articles/s41598-017-04690-w.pdf,https://doi.org/10.1038/s41598-017-04690-w,28
oa_026,10.1038/s41467-019-13998-2,Efficient lateral-structure perovskite single crystal solar cells with high operational stability,2020,https://www.nature.com/articles/s41467-019-13998-2.pdf,https://doi.org/10.1038/s41467-019-13998-2,28
oa_027,10.1002/adfm.201806779,Scalable Fabrication of Stable High Efficiency Perovskite Solar Cells and Modules Utilizing Room Temperature Sputtered SnO2 Electron Transport Layer,2018,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201806779,https://doi.org/10.1002/adfm.201806779,28
oa_028,10.1038/ncomms12446,Defective TiO2 with high photoconductive gain for efficient and stable planar heterojunction perovskite solar cells,2016,https://www.nature.com/articles/ncomms12446.pdf,https://doi.org/10.1038/ncomms12446,28
oa_029,10.1038/s41467-023-43016-5,Heterojunction formed via 3D-to-2D perovskite conversion for photostable wide-bandgap perovskite solar cells,2023,https://www.nature.com/articles/s41467-023-43016-5.pdf,https://doi.org/10.1038/s41467-023-43016-5,28
oa_030,10.1002/adfm.202208793,Versatile Hole Selective Molecules Containing a Series of Heteroatoms as Self‐Assembled Monolayers for Efficient p‐i‐n Perovskite and Organic Solar Cells,2022,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202208793,https://doi.org/10.1002/adfm.202208793,28
oa_031,10.1002/aenm.202204115,Enhancing Photostability of Sn‐Pb Perovskite Solar Cells by an Alkylammonium Pseudo‐Halogen Additive,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202204115,https://doi.org/10.1002/aenm.202204115,28
oa_032,10.1038/s41467-018-06317-8,Gas-solid reaction based over one-micrometer thick stable perovskite films for efficient solar cells and modules,2018,https://www.nature.com/articles/s41467-018-06317-8.pdf,https://doi.org/10.1038/s41467-018-06317-8,28
oa_033,10.1002/aenm.202003712,Scalable Fabrication of >90 cm2 Perovskite Solar Modules with >1000 h Operational Stability Based on the Intermediate Phase Strategy,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003712,https://doi.org/10.1002/aenm.202003712,28
oa_034,10.1038/s41566-025-01791-1,Stabilizing high-efficiency perovskite solar cells via strategic interfacial contact engineering,2025,https://www.nature.com/articles/s41566-025-01791-1.pdf,https://doi.org/10.1038/s41566-025-01791-1,28
oa_035,10.1038/s41467-023-37492-y,Oxidation-resistant all-perovskite tandem solar cells in substrate configuration,2023,https://www.nature.com/articles/s41467-023-37492-y.pdf,https://doi.org/10.1038/s41467-023-37492-y,28
oa_036,10.1038/s41467-023-37877-z,Long-chain anionic surfactants enabling stable perovskite/silicon tandems with greatly suppressed stress corrosion,2023,https://www.nature.com/articles/s41467-023-37877-z.pdf,https://doi.org/10.1038/s41467-023-37877-z,27
oa_037,10.1002/aenm.201803047,Negligible‐Pb‐Waste and Upscalable Perovskite Deposition Technology for High‐Operational‐Stability Perovskite Solar Modules,2019,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201803047,https://doi.org/10.1002/aenm.201803047,27
oa_038,10.1038/s41467-024-52199-4,Superoxide radical derived metal-free spiro-OMeTAD for highly stable perovskite solar cells,2024,https://www.nature.com/articles/s41467-024-52199-4.pdf,https://doi.org/10.1038/s41467-024-52199-4,27
oa_039,10.1002/anie.202302507,Low‐Cost Hydroxyacid Potassium Synergists as an Efficient In Situ Defect Passivator for High Performance Tin‐Oxide‐Based Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202302507,https://doi.org/10.1002/anie.202302507,27
oa_040,10.1038/s41467-024-50962-1,Efficient and stable perovskite mini-module via high-quality homogeneous perovskite crystallization and improved interconnect,2024,https://www.nature.com/articles/s41467-024-50962-1.pdf,https://doi.org/10.1038/s41467-024-50962-1,27
oa_041,10.1002/adma.202306415,Uracil Induced Simultaneously Strengthening Grain Boundaries and Interfaces Enables High‐Performance Perovskite Solar Cells with Superior Operational Stability,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306415,https://doi.org/10.1002/adma.202306415,27
oa_042,10.1002/adma.202504520,Bifacially Reinforced Self‐Assembled Monolayer Interfaces for Minimized Recombination Loss and Enhanced Stability in Perovskite/Silicon Tandem Solar Cells,2025,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202504520,https://doi.org/10.1002/adma.202504520,27
oa_043,10.1016/j.nanoen.2021.106152,Removal of residual compositions by powder engineering for high efficiency formamidinium-based perovskite solar cells with operation lifetime over 2000 h,2021,https://www.sciencedirect.com/science/article/pii/S2211285521004080/pdf,https://doi.org/10.1016/j.nanoen.2021.106152,27
oa_044,10.1002/adma.202409261,Bottom Contact Engineering for Ambient Fabrication of >25% Durable Perovskite Solar Cells,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202409261,https://doi.org/10.1002/adma.202409261,27
oa_045,10.1002/adma.202300169,Graphene‐Like Conjugated Molecule as Hole‐Selective Contact for Operationally Stable Inverted Perovskite Solar Cells and Modules,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300169,https://doi.org/10.1002/adma.202300169,27
oa_046,10.1002/adma.202306051,Highly Stable and Efficient Formamidinium‐Based 2D Ruddlesden–Popper Perovskite Solar Cells via Lattice Manipulation,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306051,https://doi.org/10.1002/adma.202306051,27
oa_047,10.1126/sciadv.adp3112,Dimensional engineering of interlayer for efficient large-area perovskite solar cells with high stability under ISOS-L-3 aging test,2025,https://www.science.org/doi/pdf/10.1126/sciadv.adp3112?download=true,https://doi.org/10.1126/sciadv.adp3112,27
oa_048,10.1002/aenm.202301717,Synergetic Effect of Aluminum Oxide and Organic Halide Salts on Two‐Dimensional Perovskite Layer Formation and Stability Enhancement of Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301717,https://doi.org/10.1002/aenm.202301717,27
oa_049,10.1021/jacs.4c06659,Reactive Passivation of Wide-Bandgap Organic–Inorganic Perovskites with Benzylamine,2024,https://pubs.acs.org/doi/pdf/10.1021/jacs.4c06659?ref=article_openPDF,https://doi.org/10.1021/jacs.4c06659,27
oa_050,10.1002/idm2.12079,Stress compensation based on interfacial nanostructures for stable perovskite solar cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12079,https://doi.org/10.1002/idm2.12079,27
