download_id,doi,title,year,open_pdf_url,landing_url,relevance_score,download_status,local_file,bytes,sha256
oa_034,10.1038/s41566-025-01791-1,Stabilizing high-efficiency perovskite solar cells via strategic interfacial contact engineering,2025,https://www.nature.com/articles/s41566-025-01791-1.pdf,https://doi.org/10.1038/s41566-025-01791-1,28,downloaded_open_pdf,07_literature/fulltext_open/oa_034__10.1038_s41566-025-01791-1.pdf,4159752,4ba99f28fccaa29752218791437e9038a348bc70d07ecf82e207b79943529ecd
oa_035,10.1038/s41467-023-37492-y,Oxidation-resistant all-perovskite tandem solar cells in substrate configuration,2023,https://www.nature.com/articles/s41467-023-37492-y.pdf,https://doi.org/10.1038/s41467-023-37492-y,28,downloaded_open_pdf,07_literature/fulltext_open/oa_035__10.1038_s41467-023-37492-y.pdf,1856108,f3b1636d6a319eb26ee053255e455922bf55ad2346962c0d5dc65feb2d678a69
oa_036,10.1038/s41467-023-37877-z,Long-chain anionic surfactants enabling stable perovskite/silicon tandems with greatly suppressed stress corrosion,2023,https://www.nature.com/articles/s41467-023-37877-z.pdf,https://doi.org/10.1038/s41467-023-37877-z,27,downloaded_open_pdf,07_literature/fulltext_open/oa_036__10.1038_s41467-023-37877-z.pdf,3147339,f808e000c2a0821add2634a1b5166945170dc803434abda6d5433cbda7f68785
oa_037,10.1002/aenm.201803047,Negligible‐Pb‐Waste and Upscalable Perovskite Deposition Technology for High‐Operational‐Stability Perovskite Solar Modules,2019,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201803047,https://doi.org/10.1002/aenm.201803047,27,unavailable_after_curl_fallback,,0,
oa_038,10.1038/s41467-024-52199-4,Superoxide radical derived metal-free spiro-OMeTAD for highly stable perovskite solar cells,2024,https://www.nature.com/articles/s41467-024-52199-4.pdf,https://doi.org/10.1038/s41467-024-52199-4,27,downloaded_open_pdf,07_literature/fulltext_open/oa_038__10.1038_s41467-024-52199-4.pdf,1615248,92b71923e15f93716f7ebf457c60f5f2df6330fe235018eaea76d4d8c806f367
oa_039,10.1002/anie.202302507,Low‐Cost Hydroxyacid Potassium Synergists as an Efficient In Situ Defect Passivator for High Performance Tin‐Oxide‐Based Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202302507,https://doi.org/10.1002/anie.202302507,27,unavailable_after_curl_fallback,,0,
oa_040,10.1038/s41467-024-50962-1,Efficient and stable perovskite mini-module via high-quality homogeneous perovskite crystallization and improved interconnect,2024,https://www.nature.com/articles/s41467-024-50962-1.pdf,https://doi.org/10.1038/s41467-024-50962-1,27,downloaded_open_pdf,07_literature/fulltext_open/oa_040__10.1038_s41467-024-50962-1.pdf,1425189,63a571fe55f1fe226c502f47c45c7b712e1a224495377fefebe8f94e667ae82b
oa_041,10.1002/adma.202306415,Uracil Induced Simultaneously Strengthening Grain Boundaries and Interfaces Enables High‐Performance Perovskite Solar Cells with Superior Operational Stability,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306415,https://doi.org/10.1002/adma.202306415,27,unavailable_after_curl_fallback,,0,
oa_042,10.1002/adma.202504520,Bifacially Reinforced Self‐Assembled Monolayer Interfaces for Minimized Recombination Loss and Enhanced Stability in Perovskite/Silicon Tandem Solar Cells,2025,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202504520,https://doi.org/10.1002/adma.202504520,27,unavailable_after_curl_fallback,,0,
oa_043,10.1016/j.nanoen.2021.106152,Removal of residual compositions by powder engineering for high efficiency formamidinium-based perovskite solar cells with operation lifetime over 2000 h,2021,https://www.sciencedirect.com/science/article/pii/S2211285521004080/pdf,https://doi.org/10.1016/j.nanoen.2021.106152,27,unavailable_after_curl_fallback,,0,
oa_044,10.1002/adma.202409261,Bottom Contact Engineering for Ambient Fabrication of >25% Durable Perovskite Solar Cells,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202409261,https://doi.org/10.1002/adma.202409261,27,unavailable_after_curl_fallback,,0,
oa_045,10.1002/adma.202300169,Graphene‐Like Conjugated Molecule as Hole‐Selective Contact for Operationally Stable Inverted Perovskite Solar Cells and Modules,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300169,https://doi.org/10.1002/adma.202300169,27,unavailable_after_curl_fallback,,0,
oa_046,10.1002/adma.202306051,Highly Stable and Efficient Formamidinium‐Based 2D Ruddlesden–Popper Perovskite Solar Cells via Lattice Manipulation,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306051,https://doi.org/10.1002/adma.202306051,27,unavailable_after_curl_fallback,,0,
oa_047,10.1126/sciadv.adp3112,Dimensional engineering of interlayer for efficient large-area perovskite solar cells with high stability under ISOS-L-3 aging test,2025,https://www.science.org/doi/pdf/10.1126/sciadv.adp3112?download=true,https://doi.org/10.1126/sciadv.adp3112,27,unavailable_after_curl_fallback,,0,
oa_048,10.1002/aenm.202301717,Synergetic Effect of Aluminum Oxide and Organic Halide Salts on Two‐Dimensional Perovskite Layer Formation and Stability Enhancement of Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301717,https://doi.org/10.1002/aenm.202301717,27,unavailable_after_curl_fallback,,0,
oa_049,10.1021/jacs.4c06659,Reactive Passivation of Wide-Bandgap Organic–Inorganic Perovskites with Benzylamine,2024,https://pubs.acs.org/doi/pdf/10.1021/jacs.4c06659?ref=article_openPDF,https://doi.org/10.1021/jacs.4c06659,27,unavailable_after_curl_fallback,,0,
oa_050,10.1002/idm2.12079,Stress compensation based on interfacial nanostructures for stable perovskite solar cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/idm2.12079,https://doi.org/10.1002/idm2.12079,27,unavailable_after_curl_fallback,,0,
