curve_id,top_dir,doi,figure_label,series_id,status,reason,n_original_points,pce_max_0_200h,max_x_hours,n_unique_t,t_coverage_pct,unit_label
x_time_h/10.1039_d1ma00861g/Fig6_D_stability_performance_curve_pce/10.1039_d1ma00861g__Fig6__D__stability_performance_curve_pce__PSC-Spiro__Series_2.csv,x_time_h,10.1039/d1ma00861g,Fig6_D,Series_2,excluded,"Too few unique time points (7) in [0,200]h window (data spans 88% of window)",50,,176.6717264771051,7,88.33586323855255,hours
x_time_h/10.1039_d1na00172h/Fig6_B_stability_performance_curve_pce/10.1039_d1na00172h__Fig6__B__stability_performance_curve_pce__PSC-2__Series_2.csv,x_time_h,10.1039/d1na00172h,Fig6_B,Series_2,excluded,Curve max time 118.7h < 200.0h (curve too short),72,,118.66541377064856,72,59.332706885324285,hours
x_time_h/10.1039_d1na00172h/Fig6_B_stability_performance_curve_pce/10.1039_d1na00172h__Fig6__B__stability_performance_curve_pce__PSC-Ref__Series_1.csv,x_time_h,10.1039/d1na00172h,Fig6_B,Series_1,excluded,Curve max time 118.5h < 200.0h (curve too short),72,,118.66541377064857,72,59.332706885324285,hours
x_time_h/10.1039_d1na00173f/Fig5_F_mppt_stability_performance_curve_spectrum/10.1039_d1na00173f__Fig5__F__mppt_stability_performance_curve_spectrum__Pristine_biased_at_0.85_V__Series_2.csv,x_time_h,10.1039/d1na00173f,Fig5_F,Series_2,excluded,"Too few unique time points (7) in [0,200]h window (data spans 10% of window)",7,,19.36897370229915,7,9.684486851149575,hours
x_time_h/10.1039_d1na00173f/Fig5_F_mppt_stability_performance_curve_spectrum/10.1039_d1na00173f__Fig5__F__mppt_stability_performance_curve_spectrum__ZIF-8@FAI_biased_at_0.85_V__Series_1.csv,x_time_h,10.1039/d1na00173f,Fig5_F,Series_1,excluded,Curve max time 148.8h < 200.0h (curve too short),47,,148.49546505096012,47,74.24773252548006,hours
x_time_h/10.1039_d1ta04922d/Fig6_B_stability_performance_curve/10.1039_d1ta04922d__Fig6__B__stability_performance_curve__w_o_[PNA]BF₄__Series_1.csv,x_time_h,10.1039/d1ta04922d,Fig6_B,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 91% of window)",53,,181.13131982399278,9,90.56565991199639,hours
x_time_h/10.1039_d1ta05537b/Fig7_D_stability_performance_curve_pce/10.1039_d1ta05537b__Fig7__D__stability_performance_curve_pce__w_o_CsPbBr₃__Series_1.csv,x_time_h,10.1039/d1ta05537b,Fig7_D,Series_1,excluded,"Too few unique time points (7) in [0,200]h window (data spans 89% of window)",12,,178.37517916988426,7,89.18758958494213,hours
x_time_h/10.1039_d1ta05699a/Fig5_E_stability_performance_curve/10.1039_d1ta05699a__Fig5__E__stability_performance_curve__Control__Series_2.csv,x_time_h,10.1039/d1ta05699a,Fig5_E,Series_2,excluded,Curve max time 142.6h < 200.0h (curve too short),71,,143.90405787056085,71,71.95202893528042,hours
x_time_h/10.1039_d1ta05699a/Fig5_E_stability_performance_curve/10.1039_d1ta05699a__Fig5__E__stability_performance_curve__n-Babr__Series_4.csv,x_time_h,10.1039/d1ta05699a,Fig5_E,Series_4,excluded,Curve max time 142.8h < 200.0h (curve too short),71,,143.90405787056085,71,71.95202893528042,hours
x_time_h/10.1039_d1ta05699a/Fig5_E_stability_performance_curve/10.1039_d1ta05699a__Fig5__E__stability_performance_curve__n-DAbr__Series_1.csv,x_time_h,10.1039/d1ta05699a,Fig5_E,Series_1,excluded,Curve max time 142.6h < 200.0h (curve too short),71,,143.90405787056085,71,71.95202893528042,hours
x_time_h/10.1039_d2ma00391k/Fig5_H_stability_performance_curve/10.1039_d2ma00391k__Fig5__H__stability_performance_curve__control__Series_3.csv,x_time_h,10.1039/d2ma00391k,Fig5_H,Series_3,excluded,"Too few unique time points (9) in [0,200]h window (data spans 93% of window)",44,,185.69017320436075,9,92.84508660218037,hours
x_time_h/10.1039_d3cc02709k/Fig4_D_stability/10.1039_d3cc02709k__Fig4__D__stability__Control__Series_2.csv,x_time_h,10.1039/d3cc02709k,Fig4_D,Series_2,excluded,"Too few unique time points (4) in [0,200]h window (data spans 79% of window)",39,,157.62172244854423,4,78.81086122427212,hours
x_time_h/10.1039_d3ee03687a/Fig5_B_stability_performance_curve_pce/10.1039_d3ee03687a__Fig5__B__stability_performance_curve_pce__AS__Series_1.csv,x_time_h,10.1039/d3ee03687a,Fig5_B,Series_1,excluded,Curve max time 99.0h < 200.0h (curve too short),11,,94.3291182719091,11,47.16455913595455,hours
x_time_h/10.1039_d3mh00219e/Fig3_E_stability_performance_curve_pce/10.1039_d3mh00219e__Fig3__E__stability_performance_curve_pce__(sc)BCB-C4PA_20%__Series_1.csv,x_time_h,10.1039/d3mh00219e,Fig3_E,Series_1,excluded,"Too few unique time points (7) in [0,200]h window (data spans 95% of window)",87,,190.94965388272277,7,95.47482694136139,hours
x_time_h/10.1039_d3sc02845c/Fig6_A_stability_performance_curve_pce/10.1039_d3sc02845c__Fig6__A__stability_performance_curve_pce__TMDAP-EP-OMeDPA__Series_1.csv,x_time_h,10.1039/d3sc02845c,Fig6_A,Series_1,excluded,"Too few unique time points (7) in [0,200]h window (data spans 92% of window)",34,,183.59285136539006,7,91.79642568269503,hours
x_time_h/10.1039_d3sc02845c/Fig6_A_stability_performance_curve_pce/10.1039_d3sc02845c__Fig6__A__stability_performance_curve_pce__TMDAP-OMeDPA__Series_2.csv,x_time_h,10.1039/d3sc02845c,Fig6_A,Series_2,excluded,"Too few unique time points (7) in [0,200]h window (data spans 92% of window)",34,,183.59285136539006,7,91.79642568269503,hours
x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_F-PEA__Series_3.csv,x_time_h,10.1039/d3ta01935g,Fig5_F,Series_3,excluded,Curve max time 147.5h < 200.0h (curve too short),48,,147.25161718018472,48,73.62580859009236,hours
x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_iso-BA__Series_1.csv,x_time_h,10.1039/d3ta01935g,Fig5_F,Series_1,excluded,Curve max time 148.8h < 200.0h (curve too short),49,,150.384630311678,49,75.192315155839,hours
x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__iso-BA_F-PEA__Series_2.csv,x_time_h,10.1039/d3ta01935g,Fig5_F,Series_2,excluded,Curve max time 148.5h < 200.0h (curve too short),48,,147.2516171801847,48,73.62580859009235,hours
x_time_h/10.1039_d3ta02892e/Fig5_F_stability_performance_curve_pce/10.1039_d3ta02892e__Fig5__F__stability_performance_curve_pce__S-CsSnl₃__Series_1.csv,x_time_h,10.1039/d3ta02892e,Fig5_F,Series_1,excluded,"Too few unique time points (7) in [0,200]h window (data spans 91% of window)",33,,182.0665243519327,7,91.03326217596636,hours
x_time_h/10.1039_d3ta07845k/Fig5_A_stability_performance_curve_pce/10.1039_d3ta07845k__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,x_time_h,10.1039/d3ta07845k,Fig5_A,Series_1,excluded,"Too few unique time points (8) in [0,200]h window (data spans 91% of window)",53,,181.7277448271115,8,90.86387241355575,hours
x_time_h/10.1039_d3ta07851e/Fig3_E_stability_performance_curve_pce/10.1039_d3ta07851e__Fig3__E__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,x_time_h,10.1039/d3ta07851e,Fig3_E,Series_2,excluded,Curve max time 148.3h < 200.0h (curve too short),53,,148.71283922923823,53,74.35641961461911,hours
x_time_h/10.1039_d3ya00065f/Fig7_F_stability_performance_curve_pce/10.1039_d3ya00065f__Fig7__F__stability_performance_curve_pce__Control__Series_3.csv,x_time_h,10.1039/d3ya00065f,Fig7_F,Series_3,excluded,"Too few unique time points (7) in [0,200]h window (data spans 94% of window)",32,,188.5308663057245,7,94.26543315286224,hours
x_time_h/10.1039_d4ee01960a/Fig5_C_stability_performance_curve/10.1039_d4ee01960a__Fig5__C__stability_performance_curve__0-4PACz__Series_1.csv,x_time_h,10.1039/d4ee01960a,Fig5_C,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 95% of window)",50,,190.79213723297585,9,95.39606861648792,hours
x_time_h/10.1039_d4ee02427c/Fig3_E_mppt_stability_performance_curve_density_of_states/10.1039_d4ee02427c__Fig3__E__mppt_stability_performance_curve_density_of_states__Control__Series_2.csv,x_time_h,10.1039/d4ee02427c,Fig3_E,Series_2,excluded,"Too few unique time points (5) in [0,200]h window (data spans 90% of window)",27,,180.07339297525596,5,90.03669648762798,hours
x_time_h/10.1039_d4ee02427c/Fig3_M_mppt_stability_performance_curve_density_of_states/10.1039_d4ee02427c__Fig3__M__mppt_stability_performance_curve_density_of_states__Control__Series_2.csv,x_time_h,10.1039/d4ee02427c,Fig3_M,Series_2,excluded,Curve max time 109.3h < 200.0h (curve too short),19,,107.99758454137445,19,53.998792270687225,hours
x_time_h/10.1039_d4ee02427c/Fig4_H_mppt_stability_performance_curve_pce_eqe/10.1039_d4ee02427c__Fig4__H__mppt_stability_performance_curve_pce_eqe__Control__Series_2.csv,x_time_h,10.1039/d4ee02427c,Fig4_H,Series_2,excluded,Curve max time 60.9h < 200.0h (curve too short),12,,58.73672848734107,12,29.368364243670538,hours
x_time_h/10.1039_d4ee03001j/Fig5_F_mppt_stability_performance_curve_jsc/10.1039_d4ee03001j__Fig5__F__mppt_stability_performance_curve_jsc__Control__Series_2.csv,x_time_h,10.1039/d4ee03001j,Fig5_F,Series_2,excluded,Curve max time 137.9h < 200.0h (curve too short),50,,135.61094849803501,50,67.80547424901751,hours
x_time_h/10.1039_d4ee05699j/Fig4_I_stability_performance_curve_pce/10.1039_d4ee05699j__Fig4__I__stability_performance_curve_pce__Control-PSMs__Series_2.csv,x_time_h,10.1039/d4ee05699j,Fig4_I,Series_2,excluded,Curve max time 184.8h < 200.0h (curve too short),14,,183.51227626878344,14,91.75613813439172,hours
x_time_h/10.1039_d4ee06038e/Fig4_F_stability_performance_curve_pce/10.1039_d4ee06038e__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,x_time_h,10.1039/d4ee06038e,Fig4_F,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 94% of window)",42,,188.5947526969943,9,94.29737634849715,hours
x_time_h/10.1039_d4ra08786k/Fig7_A_stability_performance_curve_pce/10.1039_d4ra08786k__Fig7__A__stability_performance_curve_pce__Untreated_Initial_PCE_=_16.67%__Series_1.csv,x_time_h,10.1039/d4ra08786k,Fig7_A,Series_1,excluded,"Too few unique time points (7) in [0,200]h window (data spans 97% of window)",64,,194.30611755164932,7,97.15305877582466,hours
x_time_h/10.1039_d4ra08786k/Fig7_B_stability_performance_curve_pce/10.1039_d4ra08786k__Fig7__B__stability_performance_curve_pce__Untreated_Initial_PCE_=_16.51%__Series_2.csv,x_time_h,10.1039/d4ra08786k,Fig7_B,Series_2,excluded,Curve max time 135.2h < 200.0h (curve too short),16,,132.4038058197716,16,66.2019029098858,hours
x_time_h/10.1039_d4su00641k/Fig1_whole_stability_performance_curve/10.1039_d4su00641k__Fig1__whole__stability_performance_curve__Mixed_perovskite__Series_1.csv,x_time_h,10.1039/d4su00641k,Fig1,Series_1,excluded,Curve max time 177.3h < 200.0h (curve too short),45,,178.60380749990546,45,89.30190374995273,hours
x_time_h/10.1039_d4su00641k/Fig1_whole_stability_performance_curve/10.1039_d4su00641k__Fig1__whole__stability_performance_curve__Pure_perovskite__Series_2.csv,x_time_h,10.1039/d4su00641k,Fig1,Series_2,excluded,Curve max time 176.1h < 200.0h (curve too short),46,,171.00364547863288,46,85.50182273931644,hours
x_time_h/10.1039_d4ta03516j/Fig6_E_stability_performance_curve/10.1039_d4ta03516j__Fig6__E__stability_performance_curve__Control__Series_2.csv,x_time_h,10.1039/d4ta03516j,Fig6_E,Series_2,excluded,"Too few unique time points (3) in [0,200]h window (data spans 88% of window)",56,,175.5109199423548,3,87.7554599711774,hours
x_time_h/10.1039_d4ta08040h/Fig4_A_mppt_stability_performance_curve_pce_image/10.1039_d4ta08040h__Fig4__A__mppt_stability_performance_curve_pce_image__ea__Series_1.csv,x_time_h,10.1039/d4ta08040h,Fig4_A,Series_1,excluded,"Too few unique time points (3) in [0,200]h window (data spans 94% of window)",37,,188.21909572295885,3,94.10954786147943,hours
x_time_h/10.1039_d4ta08040h/Fig4_C_mppt_stability_performance_curve_pce_image/10.1039_d4ta08040h__Fig4__C__mppt_stability_performance_curve_pce_image__eA__Series_2.csv,x_time_h,10.1039/d4ta08040h,Fig4_C,Series_2,excluded,"Too few unique time points (4) in [0,200]h window (data spans 78% of window)",40,,156.83253743436228,4,78.41626871718114,hours
x_time_h/10.1039_d5ee01110h/Fig1_E_stability_performance_curve/10.1039_d5ee01110h__Fig1__E__stability_performance_curve__Control__Series_2.csv,x_time_h,10.1039/d5ee01110h,Fig1_E,Series_2,excluded,Curve max time 134.0h < 200.0h (curve too short),21,,132.87769911939756,20,66.43884955969878,hours
