curve_id,true_class,amplitude_pce_percent,white_noise_sigma_norm,correlated_noise_sigma_norm,noise_ar1_rho,raw_point_count,start_norm,peak_h,rapid_decay_end_h,peak_norm,rapid_decay_end_norm,end_norm,fast_fraction,tau_fast_h,tau_slow_h,floor_norm,rise_end_h,shoulder_h,shoulder_norm,minimum_h,recovery_peak_h,minimum_norm,recovery_peak_norm
SYN-0067,IFO-Bridge,21.67442142,0.00626575,0.01062225,0.88478530,297,0.67535451,,,0.96867375,,0.87619015,,,,,29.11632947,56.11791134,0.94233939,,,,
SYN-0068,IFO-Valley,11.39311971,0.00750171,0.00524538,0.77309129,288,0.96197498,,,,,0.62496267,,,,,,,,27.78839206,85.02715047,0.42378069,0.83480157
SYN-0069,IFO-Slope,9.98655388,0.00855301,0.00587996,0.91332883,294,0.99814535,,,,,0.21787689,0.65664596,16.37559721,172.23879617,0.08683963,,,,,,,
SYN-0070,IFO-Hill,19.88264739,0.00669256,0.00843227,0.89293476,293,0.59970249,19.53284156,69.42358569,0.98163849,0.41514354,0.20964852,,,,,,,,,,,
SYN-0071,IFO-Hill,16.57443169,0.00898679,0.00494566,0.85311996,292,0.47312253,25.65777395,61.69917631,0.98972860,0.53982127,0.27460677,,,,,,,,,,,
SYN-0072,IFO-Bridge,8.84362744,0.00589288,0.01260363,0.88148360,289,0.60171210,,,0.99163846,,0.78471722,,,,,24.46044078,71.68963892,0.95504944,,,,
SYN-0073,IFO-Valley,20.48641053,0.00788075,0.01339330,0.80816415,293,0.98341883,,,,,0.62448230,,,,,,,,30.72467779,95.22516267,0.36523031,0.82880985
SYN-0074,IFO-Slope,12.36303618,0.00922684,0.00647196,0.73128675,295,0.97181494,,,,,0.26994195,0.50475575,12.42500494,173.42502473,0.08500540,,,,,,,
SYN-0075,IFO-Valley,22.45128010,0.00545272,0.00952488,0.87789464,295,0.96025621,,,,,0.66438104,,,,,,,,30.55519554,89.54224129,0.29245502,0.87010750
SYN-0076,IFO-Bridge,13.27774114,0.00742690,0.01326249,0.88642961,288,0.58473944,,,0.97051098,,0.86086468,,,,,21.58811184,79.70312042,0.96098437,,,,
SYN-0077,IFO-Bridge,21.41157219,0.00343318,0.00932554,0.82112334,289,0.63087423,,,0.97464677,,0.82575910,,,,,25.73027440,69.86111044,0.93505852,,,,
SYN-0078,IFO-Hill,23.03512721,0.00379130,0.00463995,0.78476923,284,0.54429339,24.81562972,73.49149050,0.97184748,0.49568142,0.33540824,,,,,,,,,,,
SYN-0079,IFO-Hill,15.21622286,0.00884975,0.00443212,0.77946879,287,0.58714639,30.16953226,66.39472992,0.99292553,0.44703789,0.25490940,,,,,,,,,,,
SYN-0080,IFO-Bridge,11.19933037,0.00820693,0.01029058,0.74525791,296,0.64019967,,,0.96689030,,0.86268959,,,,,30.81351266,68.88185472,0.95344353,,,,
SYN-0081,IFO-Hill,9.37809462,0.00948049,0.01080933,0.88978742,286,0.59379172,17.80505841,68.48698955,0.99884769,0.41408972,0.29513480,,,,,,,,,,,
SYN-0082,IFO-Bridge,22.43687794,0.00884592,0.00531723,0.73612832,290,0.64074237,,,0.98100221,,0.77916446,,,,,30.59879374,69.02580450,0.97443713,,,,
SYN-0083,IFO-Hill,15.52801531,0.00461408,0.01173063,0.84870557,294,0.56447645,31.69885905,63.14036626,0.98599854,0.43269897,0.34797892,,,,,,,,,,,
SYN-0084,IFO-Slope,12.33182730,0.00421749,0.01030001,0.81090334,294,0.96376974,,,,,0.26434322,0.63533407,13.84769848,186.90574562,0.12768394,,,,,,,
SYN-0085,IFO-Hill,17.90627924,0.00421217,0.00577332,0.75599483,294,0.48547431,29.14351503,69.56018478,0.97164507,0.45740266,0.27326593,,,,,,,,,,,
SYN-0086,IFO-Slope,23.87325075,0.00804717,0.00703296,0.82002238,291,0.98451443,,,,,0.35099160,0.49353947,15.44254010,180.60710107,0.17151966,,,,,,,
SYN-0087,IFO-Bridge,11.12029321,0.00924512,0.00810852,0.83812592,292,0.62415731,,,0.99123399,,0.82797000,,,,,28.90950442,57.01055408,0.95630620,,,,
SYN-0088,IFO-Slope,8.09786726,0.00376866,0.00907862,0.81708048,298,0.96658007,,,,,0.33240566,0.57291942,13.04333486,197.41512874,0.17408696,,,,,,,
SYN-0089,IFO-Valley,21.25454606,0.00644271,0.00895946,0.73443785,291,0.95916978,,,,,0.66423607,,,,,,,,34.84717531,97.08920317,0.36089499,0.87915296
SYN-0090,IFO-Bridge,15.02923032,0.00605425,0.00810614,0.77847552,284,0.59685017,,,0.97832003,,0.79878372,,,,,30.26294011,55.72967044,0.97100158,,,,
SYN-0091,IFO-Valley,11.49847894,0.00475323,0.01012850,0.75551962,280,0.95750263,,,,,0.64032528,,,,,,,,38.34676360,97.47926169,0.40749040,0.87624589
SYN-0092,IFO-Bridge,9.25161746,0.00423217,0.00615036,0.82645045,299,0.69773631,,,0.96032090,,0.87001010,,,,,30.20149711,64.29133488,0.95007729,,,,
SYN-0093,IFO-Bridge,12.80923075,0.00723823,0.01127860,0.87298147,299,0.63257605,,,0.99715674,,0.76141047,,,,,19.85322339,79.65920169,0.96103733,,,,
SYN-0094,IFO-Bridge,15.65944620,0.00303610,0.01383488,0.78105842,289,0.64867462,,,0.99517686,,0.85497398,,,,,33.98991668,71.97212944,0.95959870,,,,
SYN-0095,IFO-Slope,8.59544880,0.00453289,0.00645516,0.84331778,280,0.97338411,,,,,0.33320066,0.49400775,15.90907159,197.54632876,0.13452830,,,,,,,
SYN-0096,IFO-Valley,8.45490920,0.00746179,0.01042179,0.87306038,288,0.98647415,,,,,0.61023915,,,,,,,,36.72812383,83.25471339,0.38734958,0.87742206
SYN-0097,IFO-Hill,23.36687094,0.00451987,0.01116637,0.76133519,288,0.60439355,18.99544076,69.50915776,0.98584349,0.41935134,0.23783404,,,,,,,,,,,
SYN-0098,IFO-Hill,14.46069102,0.00905123,0.00576153,0.82853394,288,0.59847677,29.84644535,65.16837784,0.99894699,0.46895412,0.31807463,,,,,,,,,,,
SYN-0099,IFO-Bridge,14.71057726,0.00973149,0.00732811,0.73456039,288,0.55140787,,,0.97334658,,0.87387150,,,,,18.52346323,80.45904303,0.96005682,,,,
SYN-0100,IFO-Slope,20.65655677,0.00316125,0.00910618,0.82214921,294,0.98096599,,,,,0.30204739,0.52643630,15.29562861,177.51990323,0.12863491,,,,,,,
SYN-0101,IFO-Hill,20.45854684,0.00869932,0.01248601,0.78562448,298,0.57726942,24.34806994,65.43061006,0.97335539,0.44982247,0.20197099,,,,,,,,,,,
SYN-0102,IFO-Bridge,20.08447816,0.00439754,0.01097483,0.73049769,295,0.59484457,,,0.98171981,,0.83897542,,,,,22.29581073,55.93395583,0.97381693,,,,
SYN-0103,IFO-Slope,11.56784268,0.00991984,0.01066414,0.91362372,292,0.96347924,,,,,0.26739348,0.65998554,12.10505313,159.10816222,0.16111519,,,,,,,
SYN-0104,IFO-Valley,21.62388434,0.00995827,0.00413417,0.80753426,289,0.98696153,,,,,0.60381680,,,,,,,,27.11826631,87.95864677,0.40542495,0.90651706
SYN-0105,IFO-Valley,9.79549552,0.00838668,0.00419827,0.79927275,297,0.99580223,,,,,0.67888185,,,,,,,,40.13142459,83.59789097,0.34916757,0.85627723
SYN-0106,IFO-Valley,23.29200837,0.00919627,0.00555935,0.72360892,287,0.99921987,,,,,0.71006742,,,,,,,,30.73016170,96.83003561,0.37836218,0.78154342
SYN-0107,IFO-Bridge,11.52577841,0.00593911,0.01154540,0.73405870,280,0.60518688,,,0.98019228,,0.79356985,,,,,21.71290912,80.36706288,0.94713337,,,,
SYN-0108,IFO-Bridge,17.34658905,0.00760293,0.00876842,0.74961305,296,0.65849211,,,0.96083065,,0.77036721,,,,,20.84357438,81.66176454,0.95524519,,,,
SYN-0109,IFO-Bridge,17.00227053,0.00605808,0.00660561,0.79680553,292,0.69009562,,,0.97322716,,0.77609937,,,,,33.39963668,66.10406434,0.95789656,,,,
SYN-0110,IFO-Slope,17.49789128,0.00479742,0.00967243,0.77520396,293,0.98270171,,,,,0.22580001,0.56153880,11.22126988,146.45000742,0.08436736,,,,,,,
SYN-0111,IFO-Bridge,21.71285935,0.00412343,0.00594341,0.80955798,293,0.57920634,,,0.99648502,,0.87812889,,,,,28.14761872,60.13327580,0.98068526,,,,
SYN-0112,IFO-Slope,22.84323672,0.00986870,0.00728587,0.73725501,290,0.99339440,,,,,0.35020569,0.53485051,18.62756471,190.33557571,0.17749512,,,,,,,
SYN-0113,IFO-Bridge,10.64922226,0.00999619,0.01228168,0.72238654,297,0.64293031,,,0.98241145,,0.83782768,,,,,32.15920064,63.22706759,0.95092095,,,,
SYN-0114,IFO-Valley,14.56664567,0.00673811,0.00938180,0.78025809,287,0.96601615,,,,,0.63764137,,,,,,,,37.66144742,89.58793790,0.29814441,0.89836890
SYN-0115,IFO-Hill,9.87937576,0.00501411,0.00802459,0.75282515,286,0.52299776,23.47288233,72.21269330,0.97047356,0.45761094,0.20228364,,,,,,,,,,,
SYN-0116,IFO-Bridge,20.98663431,0.00374561,0.00662801,0.74551641,291,0.64066450,,,0.96357438,,0.86058765,,,,,24.82037623,78.81395870,0.94046995,,,,
SYN-0117,IFO-Bridge,10.53335533,0.00931771,0.00454580,0.91258106,294,0.59647462,,,0.99027313,,0.83611130,,,,,31.37060008,75.87843712,0.96357585,,,,
SYN-0118,IFO-Bridge,22.35050582,0.00697666,0.01207071,0.84232904,298,0.66510953,,,0.98627905,,0.85170851,,,,,24.09228976,60.33643886,0.96033315,,,,
SYN-0119,IFO-Bridge,22.89491829,0.00401898,0.00851684,0.85004296,289,0.65075548,,,0.96625135,,0.76963876,,,,,24.06158272,75.26069392,0.94043875,,,,
SYN-0120,IFO-Valley,20.05384454,0.00344738,0.01158037,0.78812060,292,0.96125203,,,,,0.60151125,,,,,,,,26.16809596,93.91204538,0.34854355,0.89875652
SYN-0121,IFO-Valley,18.89858352,0.00918827,0.00868640,0.86253711,289,0.96759620,,,,,0.62833391,,,,,,,,38.85841408,98.98356779,0.36074020,0.84298874
SYN-0122,IFO-Valley,12.32485084,0.00314148,0.00885356,0.81504127,297,0.98150438,,,,,0.62900207,,,,,,,,30.55666415,101.59287869,0.31792102,0.86868945
SYN-0123,IFO-Bridge,22.53259391,0.00997864,0.00952899,0.87533853,297,0.62126178,,,0.99771849,,0.81060108,,,,,31.01317064,65.23655459,0.97787591,,,,
SYN-0124,IFO-Slope,18.97301981,0.00866831,0.01122833,0.82406762,294,0.96909498,,,,,0.28639963,0.49401893,10.05482856,180.66220147,0.09320296,,,,,,,
SYN-0125,IFO-Valley,10.90825965,0.00533752,0.01148529,0.82188551,287,0.99376032,,,,,0.68171757,,,,,,,,38.19598813,95.96025515,0.28375378,0.81693605
SYN-0126,IFO-Hill,12.82272507,0.00676399,0.00407391,0.76448914,289,0.61767673,24.70940250,69.07288827,0.97775584,0.52826114,0.34513669,,,,,,,,,,,
SYN-0127,IFO-Valley,10.04250490,0.00772697,0.00437925,0.75778072,290,0.96624128,,,,,0.63394160,,,,,,,,24.17768821,84.96852588,0.38337889,0.80033718
SYN-0128,IFO-Hill,10.20554818,0.00659365,0.01179455,0.76985181,290,0.52136400,20.08378638,60.05585350,0.97283663,0.53736904,0.21301030,,,,,,,,,,,
SYN-0129,IFO-Slope,19.54457450,0.00549328,0.00929861,0.73709747,295,0.96933293,,,,,0.31314644,0.56646114,14.29223734,175.52999384,0.16471487,,,,,,,
SYN-0130,IFO-Bridge,21.31475814,0.00514670,0.00518391,0.78769983,298,0.60148197,,,0.99532023,,0.86901635,,,,,25.60214553,66.35984305,0.97049293,,,,
SYN-0131,IFO-Valley,19.41486449,0.00846905,0.00996716,0.74830970,296,0.99917727,,,,,0.60608682,,,,,,,,33.14384909,84.61564733,0.40373730,0.86679899
SYN-0132,IFO-Hill,12.81403831,0.00634497,0.01337681,0.91249770,291,0.51153083,28.07602419,60.41179166,0.99286089,0.44292964,0.31414836,,,,,,,,,,,
SYN-0133,IFO-Slope,15.64445762,0.00414868,0.00564922,0.85639941,282,0.97364272,,,,,0.28666059,0.49647118,16.03347378,171.10361591,0.10448906,,,,,,,
SYN-0134,IFO-Hill,15.95366881,0.00845695,0.00882276,0.75880458,297,0.52486323,24.66375812,63.77232303,0.97928356,0.46490110,0.33064841,,,,,,,,,,,
SYN-0135,IFO-Valley,23.62912945,0.00712068,0.00449191,0.90924768,299,0.96695322,,,,,0.62198823,,,,,,,,35.24801771,81.76660102,0.28853959,0.91584798
SYN-0136,IFO-Bridge,17.22682228,0.00915101,0.00827230,0.89673821,291,0.67542453,,,0.98818249,,0.76605270,,,,,20.19126406,75.29407619,0.95838155,,,,
SYN-0137,IFO-Slope,15.66926375,0.00951069,0.01026494,0.82226587,287,0.98654439,,,,,0.23725633,0.59482394,19.90405379,155.49881430,0.10008725,,,,,,,
SYN-0138,IFO-Slope,11.62456918,0.00498192,0.01294842,0.81094117,286,0.97656357,,,,,0.31658415,0.52956889,19.08484806,229.00639194,0.10292170,,,,,,,
SYN-0139,IFO-Hill,14.33959826,0.00833761,0.00992698,0.89519881,296,0.53057465,19.38591593,55.00042233,0.98103843,0.52171529,0.29510082,,,,,,,,,,,
SYN-0140,IFO-Bridge,12.26870334,0.00938934,0.00844990,0.84856620,296,0.56781268,,,0.96210669,,0.78982671,,,,,28.57639910,58.71820799,0.93946908,,,,
SYN-0141,IFO-Bridge,19.54182511,0.00477090,0.01131241,0.84777103,289,0.57192363,,,0.98860239,,0.77921879,,,,,32.40017040,62.78679317,0.95201400,,,,
SYN-0142,IFO-Hill,14.18104624,0.00692342,0.00973180,0.77190070,295,0.53413818,19.66784296,57.13472611,0.98408499,0.43957660,0.23702803,,,,,,,,,,,
SYN-0143,IFO-Slope,19.60996696,0.00956506,0.00514404,0.83726879,294,0.98540995,,,,,0.35312082,0.55230967,19.97573169,211.47487673,0.17420016,,,,,,,
SYN-0144,IFO-Bridge,9.08409994,0.00765213,0.01054803,0.75639476,289,0.69581370,,,0.98002601,,0.79862699,,,,,25.27294554,59.43944493,0.94704012,,,,
SYN-0145,IFO-Slope,18.70060451,0.00725536,0.00608626,0.76602741,295,0.96627488,,,,,0.24129603,0.58064123,17.42129494,152.50768439,0.10634053,,,,,,,
SYN-0146,IFO-Valley,11.77953636,0.00646276,0.00589801,0.88969053,296,0.97455108,,,,,0.70675821,,,,,,,,30.53663670,78.86060616,0.32977640,0.91138493
SYN-0147,IFO-Hill,13.00745112,0.00540838,0.01117265,0.81670324,292,0.59963768,27.22463377,66.73410447,0.98175659,0.49372353,0.26398697,,,,,,,,,,,
SYN-0148,IFO-Valley,21.04906155,0.00573099,0.00887201,0.91536544,292,0.97551899,,,,,0.61509250,,,,,,,,33.09388437,89.48260173,0.33526519,0.89364097
SYN-0149,IFO-Hill,21.67212345,0.00680663,0.00888568,0.79536087,294,0.52678793,28.17665003,54.90830967,0.98573043,0.44359782,0.27035860,,,,,,,,,,,
SYN-0150,IFO-Valley,13.39146928,0.00666408,0.00672464,0.79790184,285,0.95057886,,,,,0.68606625,,,,,,,,24.83087258,99.66244767,0.39735016,0.83682239
SYN-0151,IFO-Slope,8.89266500,0.00675289,0.01288220,0.84930933,295,0.96015298,,,,,0.30200436,0.52720922,18.67356182,203.12520178,0.10972883,,,,,,,
SYN-0152,IFO-Valley,21.11543571,0.00330545,0.00482328,0.83894912,289,0.99295706,,,,,0.62517407,,,,,,,,31.97000576,102.22529866,0.33482050,0.79745299
SYN-0153,IFO-Valley,22.33149017,0.00546352,0.00825472,0.73682029,292,0.99973608,,,,,0.66621076,,,,,,,,36.49267011,94.13710987,0.28473440,0.78796120
SYN-0154,IFO-Valley,18.32163730,0.00528475,0.00906135,0.89198619,291,0.95036341,,,,,0.63852765,,,,,,,,27.09107580,101.73152690,0.31125076,0.88008206
