curve_id,true_class,som_x,som_y,som_node,posthoc_predicted_class,is_correct
SYN-0041,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0042,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0043,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0044,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0045,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0046,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0047,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0048,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0049,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0050,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0051,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0052,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0053,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0054,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0055,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0056,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0057,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0058,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0059,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0060,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0061,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0062,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0063,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0064,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0065,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0066,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0067,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0068,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0069,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0070,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0071,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0072,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0073,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0074,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0075,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0076,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0077,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0078,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0079,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0080,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0081,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0082,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0083,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0084,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0085,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0086,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0087,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0088,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0089,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0090,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0091,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0092,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0093,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0094,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0095,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0096,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0097,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0098,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0099,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0100,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0101,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0102,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0103,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0104,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0105,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0106,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0107,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0108,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0109,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0110,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0111,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0112,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0113,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0114,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0115,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0116,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0117,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0118,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0119,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0120,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0121,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0122,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0123,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0124,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0125,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0126,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0127,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0128,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0129,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0130,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0131,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0132,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0133,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0134,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0135,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0136,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0137,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0138,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0139,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0140,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0141,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0142,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0143,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0144,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0145,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0146,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0147,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0148,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0149,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0150,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0151,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0152,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0153,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0154,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0155,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0156,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0157,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0158,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0159,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0160,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0161,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0162,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0163,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0164,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0165,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0166,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0167,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0168,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0169,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0170,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0171,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0172,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0173,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0174,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0175,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0176,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0177,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0178,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0179,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0180,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0181,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0182,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0183,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0184,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0185,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0186,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0187,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0188,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0189,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0190,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0191,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0192,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0193,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0194,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0195,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0196,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0197,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0198,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0199,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0200,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0201,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0202,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0203,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0204,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0205,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0206,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0207,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0208,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0209,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0210,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0211,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0212,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0213,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0214,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0215,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0216,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0217,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0218,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0219,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0220,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0221,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0222,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0223,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0224,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0225,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0226,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0227,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0228,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0229,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0230,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0231,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0232,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0233,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0234,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0235,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0236,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0237,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0238,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0239,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0240,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0241,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0242,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0243,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0244,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0245,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0246,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0247,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0248,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0249,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0250,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0251,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0252,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0253,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0254,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0255,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0256,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0257,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0258,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0259,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0260,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0261,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0262,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0263,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0264,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0265,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0266,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0267,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0268,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0269,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0270,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0271,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0272,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0273,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0274,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0275,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0276,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0277,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0278,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0279,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0280,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0281,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0282,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0283,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0284,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0285,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0286,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0287,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0288,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0289,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0290,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0291,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0292,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0293,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0294,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0295,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0296,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0297,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0298,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0299,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0300,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0301,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0302,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0303,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0304,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0305,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0306,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0307,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0308,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0309,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0310,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0311,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0312,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0313,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0314,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0315,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0316,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0317,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0318,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0319,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0320,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0321,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0322,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0323,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0324,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0325,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0326,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0327,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0328,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0329,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0330,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0331,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0332,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0333,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0334,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0335,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0336,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0337,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0338,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0339,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0340,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0341,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0342,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0343,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0344,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0345,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0346,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0347,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0348,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0349,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0350,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0351,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0352,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0353,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0354,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0355,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0356,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0357,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0358,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0359,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0360,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0361,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0362,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0363,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0364,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0365,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0366,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0367,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0368,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0369,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0370,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0371,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0372,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0373,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0374,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0375,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0376,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0377,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0378,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0379,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0380,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0381,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0382,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0383,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0384,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0385,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0386,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0387,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0388,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0389,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0390,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0391,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0392,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0393,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0394,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0395,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0396,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0397,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0398,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0399,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0400,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0401,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0402,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0403,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0404,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0405,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0406,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0407,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0408,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0409,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0410,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0411,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0412,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0413,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0414,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0415,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0416,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0417,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0418,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0419,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0420,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0421,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0422,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0423,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0424,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0425,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0426,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0427,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0428,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0429,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0430,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0431,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0432,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0433,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0434,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0435,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0436,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0437,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0438,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0439,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0440,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0441,IFO-Slope,1,0,2,IFO-Slope,True
